Data;Município;Gênero da Vítima;Idade da Vítima
01/01/2021;Ipu;Masculino;68
02/01/2021;Paraipaba;Feminino;37
03/01/2021;Independência;Feminino;15
03/01/2021;Independência;Feminino;15
07/01/2021;Tianguá;Feminino;52
10/01/2021;Fortaleza;Feminino;40
23/01/2021;Fortaleza;Feminino;23
29/01/2021;Fortaleza;Masculino;29
02/02/2021;Itapipoca;Feminino;15
01/03/2021;Fortaleza;Masculino;72
04/03/2021;Fortaleza;Feminino;33
05/03/2021;Caucaia;Feminino;34
11/03/2021;Jaguaribara;Feminino;30
14/03/2021;Quixadá;Feminino;49
15/03/2021;Sobral;Feminino;25
16/03/2021;Fortaleza;Feminino;25
23/03/2021;Senador Pompeu;Feminino;27
24/03/2021;Fortaleza;Masculino;60
25/03/2021;Crato;Feminino;22
27/03/2021;Fortaleza;Feminino;23
30/03/2021;Jaguaribe;Feminino;53
01/04/2021;Fortaleza;Feminino;36
01/04/2021;Fortaleza;Feminino;22
01/04/2021;Fortaleza;Feminino;56
01/04/2021;Fortaleza;Feminino;49
04/04/2021;Fortaleza;Feminino;40
04/04/2021;Fortaleza;Feminino;56
04/04/2021;Mauriti;Masculino;29
04/04/2021;Mauriti;Feminino;24
05/04/2021;Missão Velha;Feminino;15
06/04/2021;Frecheirinha;Masculino;29
07/04/2021;Aquiraz;Feminino;38
07/04/2021;Aquiraz;Feminino;38
08/04/2021;Caucaia;Feminino;45
08/04/2021;Caucaia;Feminino;18
09/04/2021;Fortaleza;Feminino;56
10/04/2021;Fortaleza;Feminino;37
11/04/2021;Itapipoca;Feminino;49
12/04/2021;Fortaleza;Feminino;29
14/04/2021;Fortaleza;Feminino;40
14/04/2021;Fortaleza;Feminino;25
14/04/2021;Fortaleza;Feminino;42
14/04/2021;Fortaleza;Feminino;67
14/04/2021;Fortaleza;Não identificado;Não Informada
15/04/2021;São Benedito;Não identificado;Não Informada
15/04/2021;Sobral;Masculino;41
15/04/2021;Juazeiro do Norte;Feminino;39
15/04/2021;Maracanaú;Masculino;67
16/04/2021;Tianguá;Feminino;26
17/04/2021;Fortaleza;Feminino;31
18/04/2021;Fortaleza;Feminino;25
18/04/2021;Fortaleza;Feminino;39
20/04/2021;Jaguaribara;Feminino;37
20/04/2021;Jaguaribara;Feminino;24
20/04/2021;Jaguaribara;Feminino;32
20/04/2021;Jaguaribara;Feminino;26
20/04/2021;Jaguaribara;Feminino;37
21/04/2021;Fortaleza;Feminino;67
21/04/2021;Jaguaribe;Masculino;51
21/04/2021;Jaguaribe;Feminino;28
21/04/2021;Itapipoca;Feminino;43
22/04/2021;Tianguá;Feminino;33
22/04/2021;Fortaleza;Feminino;56
23/04/2021;Fortaleza;Feminino;52
24/04/2021;Fortaleza;Feminino;25
26/04/2021;Fortaleza;Feminino;25
26/04/2021;Fortaleza;Feminino;19
27/04/2021;Paramoti;Feminino;25
27/04/2021;Fortaleza;Feminino;35
28/04/2021;Fortaleza;Feminino;28
28/04/2021;Viçosa do Ceará;Masculino;19
28/04/2021;Viçosa do Ceará;Feminino;39
30/04/2021;Fortaleza;Feminino;47
01/05/2021;Palhano;Feminino;43
01/05/2021;São Benedito;Feminino;29
01/05/2021;São Benedito;Feminino;51
01/05/2021;Fortaleza;Feminino;52
03/05/2021;Fortaleza;Feminino;25
03/05/2021;Tianguá;Feminino;21
04/05/2021;Fortaleza;Feminino;57
05/05/2021;Uruoca;Feminino;33
06/05/2021;Jijoca de Jericoacoara;Feminino;43
07/05/2021;Milhã;Feminino;37
08/05/2021;Jaguaribe;Feminino;33
09/05/2021;Crateús;Feminino;34
09/05/2021;Juazeiro do Norte;Feminino;44
09/05/2021;Fortaleza;Feminino;26
09/05/2021;Caucaia;Feminino;40
09/05/2021;Assaré;Feminino;46
11/05/2021;Fortaleza;Feminino;34
11/05/2021;Frecheirinha;Feminino;44
12/05/2021;Baturité;Não identificado;Não Informada
13/05/2021;Mauriti;Feminino;33
14/05/2021;Ocara;Não identificado;Não Informada
14/05/2021;Fortaleza;Feminino;32
15/05/2021;Farias Brito;Feminino;14
16/05/2021;Fortaleza;Feminino;45
17/05/2021;Pacatuba;Feminino;31
18/05/2021;Tianguá;Feminino;21
18/05/2021;Tianguá;Feminino;23
19/05/2021;Croatá;Feminino;15
20/05/2021;Fortaleza;Feminino;30
20/05/2021;Quixadá;Feminino;28
20/05/2021;Fortaleza;Feminino;60
21/05/2021;Fortaleza;Feminino;35
21/05/2021;Marco;Feminino;18
22/05/2021;Marco;Feminino;31
23/05/2021;Fortaleza;Feminino;35
23/05/2021;Fortaleza;Não identificado;Não Informada
24/05/2021;São Benedito;Feminino;39
26/05/2021;Senador Pompeu;Feminino;19
27/05/2021;Fortaleza;Masculino;40
27/05/2021;Fortaleza;Masculino;27
27/05/2021;Milagres;Feminino;32
27/05/2021;Maracanaú;Feminino;27
28/05/2021;Fortaleza;Feminino;40
28/05/2021;Fortaleza;Feminino;29
28/05/2021;Tianguá;Feminino;40
29/05/2021;Morada Nova;Masculino;28
29/05/2021;Crateús;Feminino;63
30/05/2021;Tianguá;Masculino;25
30/05/2021;Tianguá;Feminino;54
30/05/2021;Tianguá;Feminino;28
31/05/2021;Tianguá;Masculino;51
01/06/2021;Coreaú;Feminino;20
01/06/2021;Fortaleza;Feminino;37
01/06/2021;Fortaleza;Feminino;37
02/06/2021;Carnaubal;Feminino;24
02/06/2021;Fortaleza;Feminino;19
02/06/2021;Caucaia;Masculino;55
02/06/2021;Fortaleza;Masculino;38
03/06/2021;Fortaleza;Não identificado;Não Informada
03/06/2021;Fortaleza;Feminino;30
04/06/2021;Fortaleza;Feminino;29
04/06/2021;Meruoca;Feminino;35
05/06/2021;Fortaleza;Feminino;47
05/06/2021;Fortaleza;Feminino;29
05/06/2021;Guaramiranga;Feminino;47
05/06/2021;Fortaleza;Feminino;24
05/06/2021;Novo Oriente;Feminino;23
07/06/2021;Fortaleza;Feminino;43
08/06/2021;Fortaleza;Masculino;64
08/06/2021;Iguatu;Feminino;50
09/06/2021;Fortaleza;Feminino;53
11/06/2021;Juazeiro do Norte;Feminino;25
12/06/2021;Fortaleza;Feminino;43
12/06/2021;Fortaleza;Feminino;38
12/06/2021;São Benedito;Feminino;30
12/06/2021;Tianguá;Feminino;23
12/06/2021;Tianguá;Masculino;39
12/06/2021;Maracanaú;Masculino;16
12/06/2021;Tianguá;Masculino;16
12/06/2021;Fortaleza;Masculino;38
13/06/2021;Fortaleza;Masculino;42
13/06/2021;Itapipoca;Feminino;37
14/06/2021;Barroquinha;Feminino;40
14/06/2021;Marco;Feminino;29
14/06/2021;Ubajara;Feminino;36
15/06/2021;Fortaleza;Feminino;31
15/06/2021;Carnaubal;Não identificado;Não Informada
15/06/2021;Fortaleza;Feminino;62
16/06/2021;Ibaretama;Masculino;39
16/06/2021;Ibaretama;Masculino;39
16/06/2021;Ibaretama;Feminino;35
16/06/2021;Ibaretama;Feminino;35
16/06/2021;Fortaleza;Feminino;68
17/06/2021;Alto Santo;Feminino;28
17/06/2021;Fortaleza;Feminino;52
17/06/2021;Fortaleza;Masculino;51
17/06/2021;Aurora;Feminino;24
17/06/2021;Itapipoca;Feminino;35
18/06/2021;Alto Santo;Feminino;30
18/06/2021;Alto Santo;Feminino;22
18/06/2021;Jaguaribe;Feminino;44
18/06/2021;Canindé;Feminino;44
18/06/2021;Caucaia;Feminino;22
18/06/2021;Russas;Não identificado;Não Informada
18/06/2021;Varjota;Feminino;21
18/06/2021;Fortaleza;Masculino;48
19/06/2021;Bela Cruz;Feminino;19
19/06/2021;Fortaleza;Feminino;39
19/06/2021;Fortaleza;Feminino;37
20/06/2021;Viçosa do Ceará;Feminino;76
20/06/2021;Viçosa do Ceará;Feminino;31
20/06/2021;Fortaleza;Masculino;36
20/06/2021;Crato;Masculino;23
20/06/2021;Crato;Feminino;23
20/06/2021;Fortaleza;Feminino;38
22/06/2021;Uruoca;Feminino;36
22/06/2021;Fortaleza;Feminino;22
22/06/2021;Ipu;Feminino;18
23/06/2021;Crateús;Não identificado;Não Informada
23/06/2021;Quixadá;Feminino;38
23/06/2021;Quixadá;Feminino;24
23/06/2021;Fortaleza;Masculino;20
24/06/2021;Fortaleza;Feminino;25
24/06/2021;Tianguá;Não identificado;Não Informada
24/06/2021;Fortaleza;Masculino;26
24/06/2021;Fortaleza;Feminino;36
25/06/2021;Fortaleza;Masculino;46
25/06/2021;Jijoca de Jericoacoara;Feminino;36
26/06/2021;Fortaleza;Feminino;41
26/06/2021;Fortaleza;Feminino;29
26/06/2021;Fortaleza;Feminino;34
26/06/2021;Caucaia;Feminino;39
27/06/2021;Fortaleza;Feminino;45
27/06/2021;Crateús;Feminino;38
28/06/2021;Fortaleza;Feminino;23
28/06/2021;Fortaleza;Masculino;21
28/06/2021;Aquiraz;Feminino;53
28/06/2021;Várzea Alegre;Feminino;47
29/06/2021;Maracanaú;Masculino;54
29/06/2021;Caucaia;Feminino;36
30/06/2021;Frecheirinha;Não identificado;Não Informada
30/06/2021;Fortaleza;Feminino;36
30/06/2021;Canindé;Feminino;23
01/07/2021;Ubajara;Feminino;43
01/07/2021;Fortaleza;Feminino;23
01/07/2021;Paraipaba;Feminino;54
01/07/2021;Paraipaba;Masculino;46
01/07/2021;Acopiara;Feminino;38
02/07/2021;Barbalha;Feminino;38
02/07/2021;Ipu;Masculino;68
02/07/2021;Fortaleza;Feminino;71
02/07/2021;Fortaleza;Feminino;40
02/07/2021;Fortaleza;Feminino;37
03/07/2021;Viçosa do Ceará;Feminino;24
03/07/2021;Fortaleza;Feminino;37
04/07/2021;Ubajara;Feminino;32
04/07/2021;Fortaleza;Feminino;38
04/07/2021;Itapajé;Não identificado;Não Informada
04/07/2021;Tianguá;Feminino;35
05/07/2021;Fortaleza;Feminino;27
06/07/2021;Fortaleza;Feminino;49
06/07/2021;Fortaleza;Feminino;19
06/07/2021;Fortaleza;Feminino;38
07/07/2021;Fortaleza;Feminino;19
07/07/2021;Fortaleza;Feminino;36
07/07/2021;Fortaleza;Feminino;40
08/07/2021;Pacatuba;Feminino;28
08/07/2021;Fortaleza;Feminino;35
08/07/2021;Fortaleza;Feminino;39
08/07/2021;São Gonçalo do Amarante;Feminino;32
08/07/2021;Fortaleza;Feminino;53
09/07/2021;Monsenhor Tabosa;Feminino;31
10/07/2021;Orós;Feminino;28
10/07/2021;Fortaleza;Feminino;29
10/07/2021;Irauçuba;Masculino;21
10/07/2021;Cariré;Feminino;38
10/07/2021;Cariré;Feminino;38
10/07/2021;São Benedito;Não identificado;Não Informada
11/07/2021;Itapajé;Feminino;23
12/07/2021;Fortaleza;Feminino;42
12/07/2021;Maracanaú;Feminino;32
13/07/2021;Russas;Feminino;30
13/07/2021;Tarrafas;Masculino;29
13/07/2021;Tarrafas;Feminino;28
13/07/2021;Alto Santo;Feminino;37
13/07/2021;Caucaia;Feminino;50
13/07/2021;Crato;Feminino;26
13/07/2021;Iguatu;Masculino;24
14/07/2021;Fortaleza;Feminino;22
14/07/2021;Fortaleza;Feminino;59
16/07/2021;Palhano;Masculino;55
16/07/2021;Tianguá;Feminino;23
16/07/2021;Sobral;Feminino;27
16/07/2021;Fortaleza;Feminino;27
17/07/2021;Caucaia;Feminino;45
18/07/2021;Jaguaribe;Feminino;21
18/07/2021;Fortaleza;Feminino;39
19/07/2021;Fortaleza;Masculino;39
19/07/2021;Tianguá;Feminino;18
19/07/2021;Fortaleza;Feminino;32
19/07/2021;Fortaleza;Feminino;28
20/07/2021;Fortaleza;Feminino;36
20/07/2021;Fortaleza;Feminino;40
20/07/2021;Fortaleza;Feminino;28
20/07/2021;Fortaleza;Feminino;42
20/07/2021;Fortaleza;Feminino;37
20/07/2021;Crato;Feminino;31
20/07/2021;Trairi;Não identificado;Não Informada
21/07/2021;Itapipoca;Feminino;60
21/07/2021;Acopiara;Feminino;26
21/07/2021;Fortaleza;Masculino;33
22/07/2021;Fortaleza;Masculino;56
22/07/2021;Fortaleza;Feminino;27
22/07/2021;Cedro;Feminino;36
22/07/2021;Caucaia;Feminino;35
23/07/2021;Juazeiro do Norte;Feminino;29
23/07/2021;Fortaleza;Feminino;35
24/07/2021;Crateús;Feminino;14
24/07/2021;Mombaça;Feminino;35
25/07/2021;Quixeramobim;Feminino;32
25/07/2021;Fortaleza;Feminino;27
25/07/2021;Sobral;Feminino;22
25/07/2021;Jaguaribe;Feminino;26
26/07/2021;Pentecoste;Feminino;26
26/07/2021;Maracanaú;Feminino;28
27/07/2021;Itapipoca;Feminino;36
27/07/2021;Fortaleza;Feminino;35
27/07/2021;Caucaia;Feminino;31
27/07/2021;Fortaleza;Feminino;36
28/07/2021;Fortaleza;Masculino;29
28/07/2021;Novo Oriente;Feminino;65
28/07/2021;Juazeiro do Norte;Feminino;16
28/07/2021;Juazeiro do Norte;Feminino;35
29/07/2021;Ibiapina;Feminino;48
29/07/2021;Juazeiro do Norte;Feminino;25
29/07/2021;Jijoca de Jericoacoara;Feminino;34
29/07/2021;Maracanaú;Feminino;20
30/07/2021;Cruz;Feminino;30
30/07/2021;Fortaleza;Feminino;41
30/07/2021;Pedra Branca;Masculino;40
30/07/2021;Fortaleza;Feminino;24
30/07/2021;Fortaleza;Masculino;42
30/07/2021;Fortaleza;Feminino;31
31/07/2021;Fortaleza;Feminino;27
31/07/2021;Fortaleza;Masculino;49
31/07/2021;Fortaleza;Feminino;35
01/08/2021;Horizonte;Feminino;33
01/08/2021;Fortaleza;Feminino;37
02/08/2021;Fortaleza;Feminino;20
02/08/2021;Fortaleza;Feminino;25
02/08/2021;Fortaleza;Feminino;39
02/08/2021;Fortaleza;Feminino;34
03/08/2021;Boa Viagem;Feminino;43
03/08/2021;Alcântaras;Feminino;15
03/08/2021;Fortaleza;Feminino;29
04/08/2021;Mauriti;Feminino;37
04/08/2021;Fortaleza;Feminino;40
04/08/2021;Fortaleza;Feminino;27
04/08/2021;Fortaleza;Feminino;35
04/08/2021;Fortaleza;Feminino;31
04/08/2021;Crato;Feminino;19
06/08/2021;Fortaleza;Masculino;34
06/08/2021;Frecheirinha;Feminino;41
06/08/2021;Fortaleza;Feminino;23
07/08/2021;Caucaia;Feminino;55
07/08/2021;Fortaleza;Feminino;27
07/08/2021;Fortaleza;Feminino;32
07/08/2021;Caucaia;Feminino;26
07/08/2021;Fortaleza;Feminino;26
08/08/2021;Uruburetama;Feminino;31
08/08/2021;Uruburetama;Masculino;30
08/08/2021;Uruburetama;Feminino;22
09/08/2021;Fortaleza;Feminino;33
09/08/2021;Fortaleza;Feminino;24
09/08/2021;Trairi;Feminino;53
10/08/2021;Fortaleza;Feminino;38
10/08/2021;Crato;Feminino;44
10/08/2021;Frecheirinha;Feminino;52
10/08/2021;Fortaleza;Masculino;41
11/08/2021;Fortaleza;Feminino;47
11/08/2021;Caucaia;Feminino;36
11/08/2021;Caucaia;Masculino;41
11/08/2021;Fortaleza;Feminino;54
11/08/2021;Crateús;Feminino;45
12/08/2021;Russas;Masculino;27
12/08/2021;Juazeiro do Norte;Masculino;50
12/08/2021;Fortaleza;Feminino;21
12/08/2021;Fortaleza;Masculino;27
12/08/2021;Caucaia;Feminino;41
12/08/2021;Caucaia;Feminino;42
13/08/2021;Fortaleza;Masculino;63
13/08/2021;Fortaleza;Feminino;25
13/08/2021;Fortaleza;Feminino;41
14/08/2021;Fortaleza;Feminino;40
14/08/2021;São Gonçalo do Amarante;Feminino;19
14/08/2021;Tianguá;Feminino;18
15/08/2021;Orós;Masculino;20
15/08/2021;Juazeiro do Norte;Não identificado;Não Informada
15/08/2021;Fortaleza;Feminino;33
16/08/2021;Guaiúba;Feminino;19
16/08/2021;Aiuaba;Feminino;33
16/08/2021;Tianguá;Feminino;21
16/08/2021;Tianguá;Feminino;38
16/08/2021;Monsenhor Tabosa;Feminino;22
17/08/2021;Pacatuba;Masculino;45
17/08/2021;Camocim;Feminino;49
17/08/2021;Uruburetama;Feminino;38
18/08/2021;Fortaleza;Masculino;38
18/08/2021;Alto Santo;Feminino;38
18/08/2021;Fortaleza;Feminino;45
18/08/2021;Fortaleza;Feminino;52
18/08/2021;Fortaleza;Feminino;22
19/08/2021;Fortaleza;Feminino;38
19/08/2021;Iguatu;Feminino;25
20/08/2021;Frecheirinha;Não identificado;Não Informada
20/08/2021;Catarina;Feminino;38
20/08/2021;Catarina;Feminino;18
20/08/2021;Fortaleza;Feminino;41
20/08/2021;Fortaleza;Feminino;53
21/08/2021;Fortaleza;Feminino;43
21/08/2021;Jijoca de Jericoacoara;Feminino;47
21/08/2021;Palmácia;Masculino;45
21/08/2021;Fortaleza;Feminino;48
22/08/2021;Carnaubal;Feminino;39
22/08/2021;Fortaleza;Feminino;31
22/08/2021;Várzea Alegre;Feminino;32
23/08/2021;São Benedito;Feminino;40
23/08/2021;Iguatu;Masculino;27
23/08/2021;Acopiara;Feminino;19
23/08/2021;Fortaleza;Feminino;23
23/08/2021;Fortaleza;Feminino;30
23/08/2021;Fortaleza;Feminino;51
24/08/2021;Ipu;Feminino;40
24/08/2021;Fortaleza;Feminino;33
24/08/2021;Maracanaú;Feminino;23
24/08/2021;Fortaleza;Feminino;35
25/08/2021;Maracanaú;Feminino;38
25/08/2021;Campos Sales;Feminino;30
25/08/2021;Fortaleza;Feminino;29
25/08/2021;Fortaleza;Feminino;34
25/08/2021;Jaguaribe;Feminino;24
25/08/2021;Jaguaruana;Feminino;24
26/08/2021;Ibiapina;Masculino;52
26/08/2021;Maracanaú;Feminino;39
26/08/2021;Crato;Feminino;24
26/08/2021;Fortaleza;Feminino;57
26/08/2021;Caucaia;Feminino;21
27/08/2021;Fortaleza;Feminino;43
27/08/2021;Fortaleza;Feminino;60
28/08/2021;Caucaia;Feminino;58
28/08/2021;Fortaleza;Feminino;31
29/08/2021;Itapipoca;Feminino;28
29/08/2021;Independência;Feminino;41
30/08/2021;Ibiapina;Feminino;34
30/08/2021;Fortaleza;Feminino;Não Informada
30/08/2021;Fortaleza;Feminino;33
30/08/2021;Canindé;Feminino;41
30/08/2021;Fortaleza;Feminino;42
30/08/2021;Pacatuba;Feminino;41
30/08/2021;Aracati;Feminino;47
31/08/2021;Juazeiro do Norte;Feminino;43
31/08/2021;Juazeiro do Norte;Feminino;37
31/08/2021;Fortaleza;Feminino;23
01/09/2021;Abaiara;Feminino;30
01/09/2021;Fortaleza;Feminino;37
01/09/2021;Fortaleza;Masculino;40
02/09/2021;Russas;Masculino;19
02/09/2021;Russas;Feminino;23
02/09/2021;Caucaia;Feminino;27
03/09/2021;Crateús;Feminino;25
03/09/2021;Crato;Feminino;17
03/09/2021;Tianguá;Masculino;24
03/09/2021;Fortaleza;Feminino;59
03/09/2021;Caucaia;Feminino;30
04/09/2021;Fortaleza;Feminino;21
04/09/2021;Iguatu;Feminino;29
04/09/2021;Tianguá;Feminino;39
04/09/2021;São Benedito;Feminino;23
04/09/2021;Viçosa do Ceará;Masculino;60
05/09/2021;Fortaleza;Feminino;29
05/09/2021;Farias Brito;Masculino;76
05/09/2021;Farias Brito;Masculino;58
05/09/2021;Solonópole;Feminino;18
05/09/2021;Solonópole;Feminino;18
05/09/2021;Milagres;Masculino;20
06/09/2021;Juazeiro do Norte;Feminino;39
06/09/2021;Fortaleza;Feminino;46
07/09/2021;Fortaleza;Feminino;43
07/09/2021;Fortaleza;Não identificado;Não Informada
08/09/2021;Russas;Feminino;42
08/09/2021;Maracanaú;Feminino;56
08/09/2021;Ibiapina;Feminino;Não Informada
08/09/2021;Fortaleza;Feminino;51
08/09/2021;Fortaleza;Feminino;26
09/09/2021;Beberibe;Feminino;27
09/09/2021;Beberibe;Feminino;28
09/09/2021;Fortaleza;Feminino;30
10/09/2021;Fortaleza;Feminino;52
10/09/2021;Fortaleza;Masculino;39
10/09/2021;Fortaleza;Feminino;52
11/09/2021;Fortaleza;Feminino;27
11/09/2021;Fortaleza;Feminino;36
11/09/2021;Fortaleza;Feminino;27
11/09/2021;Fortaleza;Feminino;40
11/09/2021;Fortim;Masculino;52
12/09/2021;Fortaleza;Feminino;38
12/09/2021;Fortaleza;Feminino;55
12/09/2021;Sobral;Não identificado;Não Informada
12/09/2021;Fortaleza;Masculino;50
12/09/2021;Carnaubal;Feminino;47
12/09/2021;Santa Quitéria;Não identificado;Não Informada
13/09/2021;Fortaleza;Masculino;52
14/09/2021;Marco;Feminino;18
14/09/2021;Boa Viagem;Masculino;23
14/09/2021;Fortaleza;Feminino;32
14/09/2021;Fortaleza;Feminino;32
15/09/2021;Barbalha;Feminino;29
15/09/2021;Fortaleza;Feminino;55
15/09/2021;Fortaleza;Feminino;20
15/09/2021;Várzea Alegre;Feminino;19
15/09/2021;Fortaleza;Feminino;40
15/09/2021;Alto Santo;Feminino;55
16/09/2021;Fortaleza;Masculino;37
16/09/2021;Uruburetama;Feminino;26
16/09/2021;Crato;Masculino;32
17/09/2021;Fortaleza;Feminino;33
17/09/2021;Fortaleza;Feminino;28
17/09/2021;Ipu;Masculino;36
17/09/2021;Fortaleza;Feminino;38
17/09/2021;Horizonte;Não identificado;Não Informada
18/09/2021;Fortaleza;Feminino;42
18/09/2021;Fortaleza;Feminino;37
18/09/2021;Ibiapina;Feminino;51
18/09/2021;Ipu;Feminino;17
19/09/2021;Fortaleza;Feminino;34
19/09/2021;Fortaleza;Feminino;47
20/09/2021;Iracema;Feminino;44
20/09/2021;São Benedito;Feminino;75
20/09/2021;São Benedito;Masculino;74
20/09/2021;Horizonte;Feminino;51
20/09/2021;Fortaleza;Feminino;33
20/09/2021;Fortaleza;Masculino;33
20/09/2021;Maranguape;Feminino;43
20/09/2021;Fortaleza;Feminino;28
21/09/2021;Caucaia;Feminino;35
21/09/2021;Fortaleza;Feminino;30
21/09/2021;Fortaleza;Feminino;38
22/09/2021;Quixadá;Feminino;29
22/09/2021;Fortaleza;Feminino;35
22/09/2021;Fortaleza;Feminino;36
22/09/2021;Maracanaú;Feminino;34
22/09/2021;Cedro;Feminino;43
22/09/2021;Moraújo;Feminino;43
22/09/2021;Fortaleza;Feminino;23
22/09/2021;Fortaleza;Feminino;38
23/09/2021;Independência;Feminino;24
23/09/2021;Fortaleza;Feminino;21
23/09/2021;Coreaú;Masculino;26
24/09/2021;Iguatu;Masculino;44
24/09/2021;Fortaleza;Feminino;34
24/09/2021;Altaneira;Feminino;49
24/09/2021;Fortaleza;Feminino;32
25/09/2021;Caucaia;Feminino;32
25/09/2021;Fortaleza;Feminino;36
25/09/2021;Mauriti;Feminino;28
25/09/2021;Fortaleza;Feminino;35
25/09/2021;Crato;Masculino;22
25/09/2021;Crato;Masculino;48
25/09/2021;Fortaleza;Masculino;9
25/09/2021;Fortaleza;Masculino;11
26/09/2021;Fortaleza;Feminino;40
27/09/2021;Tianguá;Feminino;24
27/09/2021;Tianguá;Feminino;58
27/09/2021;Fortaleza;Feminino;20
27/09/2021;Barbalha;Feminino;42
27/09/2021;Fortaleza;Feminino;36
28/09/2021;Carnaubal;Feminino;42
28/09/2021;Carnaubal;Feminino;24
29/09/2021;Quixeré;Feminino;45
29/09/2021;Fortaleza;Feminino;34
29/09/2021;Itapipoca;Feminino;23
29/09/2021;Fortaleza;Masculino;36
30/09/2021;Maracanaú;Feminino;26
01/10/2021;Fortaleza;Feminino;32
01/10/2021;Fortaleza;Masculino;58
01/10/2021;Maranguape;Feminino;28
01/10/2021;Assaré;Feminino;Não Informada
01/10/2021;Fortaleza;Feminino;27
01/10/2021;Fortaleza;Feminino;23
01/10/2021;Fortaleza;Feminino;50
02/10/2021;Juazeiro do Norte;Feminino;33
02/10/2021;Viçosa do Ceará;Feminino;44
02/10/2021;Ipueiras;Não identificado;Não Informada
03/10/2021;Irauçuba;Feminino;33
03/10/2021;Fortaleza;Feminino;52
03/10/2021;Fortaleza;Feminino;25
03/10/2021;Fortaleza;Feminino;36
04/10/2021;Russas;Não identificado;Não Informada
04/10/2021;Juazeiro do Norte;Feminino;35
05/10/2021;Juazeiro do Norte;Feminino;32
05/10/2021;Fortaleza;Feminino;19
05/10/2021;Fortaleza;Feminino;33
06/10/2021;Carnaubal;Feminino;31
06/10/2021;Aracati;Feminino;40
06/10/2021;Fortaleza;Feminino;26
06/10/2021;Fortaleza;Feminino;25
06/10/2021;Fortaleza;Masculino;27
06/10/2021;Fortaleza;Feminino;44
06/10/2021;Fortaleza;Feminino;51
06/10/2021;Fortaleza;Feminino;26
07/10/2021;Maracanaú;Masculino;53
07/10/2021;Fortaleza;Masculino;53
07/10/2021;Tianguá;Feminino;23
07/10/2021;Fortaleza;Feminino;34
08/10/2021;Crateús;Feminino;40
08/10/2021;Jaguaribe;Feminino;38
09/10/2021;Fortaleza;Feminino;23
09/10/2021;Fortaleza;Feminino;32
09/10/2021;Itapipoca;Feminino;22
10/10/2021;Horizonte;Feminino;42
10/10/2021;Horizonte;Feminino;17
10/10/2021;Caucaia;Feminino;37
10/10/2021;Fortaleza;Feminino;40
10/10/2021;Fortim;Não identificado;Não Informada
10/10/2021;Crato;Feminino;44
11/10/2021;Jaguaribe;Feminino;41
11/10/2021;Fortaleza;Feminino;37
11/10/2021;Fortaleza;Feminino;44
12/10/2021;Crateús;Feminino;19
13/10/2021;Fortaleza;Feminino;34
13/10/2021;Fortaleza;Masculino;49
13/10/2021;Crateús;Feminino;27
13/10/2021;Fortaleza;Feminino;43
13/10/2021;Fortaleza;Feminino;38
13/10/2021;Quixadá;Feminino;27
13/10/2021;Jaguaribara;Feminino;16
13/10/2021;Tianguá;Feminino;25
13/10/2021;Tianguá;Feminino;14
13/10/2021;Juazeiro do Norte;Feminino;38
13/10/2021;Senador Pompeu;Feminino;3
13/10/2021;Senador Pompeu;Masculino;0
13/10/2021;Senador Pompeu;Feminino;22
14/10/2021;Tianguá;Feminino;47
14/10/2021;Fortaleza;Feminino;38
14/10/2021;Caucaia;Não identificado;Não Informada
14/10/2021;São Luís do Curu;Feminino;32
14/10/2021;Fortaleza;Feminino;46
14/10/2021;Fortaleza;Feminino;27
14/10/2021;Santa Quitéria;Feminino;16
15/10/2021;Fortaleza;Masculino;31
15/10/2021;Fortaleza;Masculino;41
15/10/2021;Fortaleza;Feminino;39
15/10/2021;Fortaleza;Feminino;43
15/10/2021;Fortaleza;Feminino;56
16/10/2021;Fortaleza;Feminino;20
16/10/2021;Varjota;Feminino;28
16/10/2021;Fortaleza;Feminino;24
16/10/2021;Caucaia;Feminino;61
16/10/2021;Fortaleza;Feminino;36
17/10/2021;Fortaleza;Feminino;24
17/10/2021;Fortaleza;Feminino;40
17/10/2021;Fortaleza;Feminino;47
17/10/2021;Fortaleza;Feminino;27
18/10/2021;Fortaleza;Feminino;55
18/10/2021;Maranguape;Feminino;43
18/10/2021;Fortaleza;Feminino;38
18/10/2021;Crateús;Feminino;49
18/10/2021;Pacajus;Feminino;31
19/10/2021;Crateús;Feminino;31
19/10/2021;Crateús;Feminino;28
19/10/2021;Fortaleza;Feminino;48
19/10/2021;Fortaleza;Feminino;57
19/10/2021;Maracanaú;Feminino;40
19/10/2021;Fortaleza;Masculino;38
20/10/2021;Caucaia;Feminino;18
20/10/2021;Frecheirinha;Masculino;69
20/10/2021;Fortaleza;Feminino;36
20/10/2021;Pacatuba;Feminino;47
20/10/2021;Ibiapina;Masculino;69
21/10/2021;Juazeiro do Norte;Feminino;30
22/10/2021;Fortaleza;Feminino;33
22/10/2021;Sobral;Feminino;39
23/10/2021;Quixelô;Feminino;20
23/10/2021;Fortaleza;Não identificado;40
23/10/2021;Fortaleza;Feminino;34
24/10/2021;Fortaleza;Feminino;40
25/10/2021;Juazeiro do Norte;Feminino;25
25/10/2021;Iguatu;Feminino;46
25/10/2021;Tianguá;Feminino;33
25/10/2021;Aracati;Feminino;28
26/10/2021;Quixeré;Feminino;20
26/10/2021;Fortaleza;Masculino;34
