 Código,Programa,Instituição de Ensino,Sigla da IES,Modalidade,Área de Avaliação,Nota da Avaliação
12002011001P7,Ciências Biológicas,INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,INPA,Aca.,BIODIVERSIDADE,5
12002011002P3,CIÊNCIAS BIOLÓGICAS (BOTÂNICA),INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,INPA,Aca.,BIODIVERSIDADE,4
12002011003P0,BIOLOGIA (ECOLOGIA),INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,INPA,Aca.,BIODIVERSIDADE,7
12002011004P6,CIÊNCIAS BIOLÓGICAS (ENTOMOLOGIA),INSTITUTO NACIONAL DE PESQUISAS DA AMAZÔNIA,INPA,Aca.,BIODIVERSIDADE,5
15001016022P6,ZOOLOGIA,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,BIODIVERSIDADE,5
15001016030P9,BIOLOGIA AMBIENTAL,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,BIODIVERSIDADE,4
15002012004P4,CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,Aca.,BIODIVERSIDADE,4
23001011015P2,ECOLOGIA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Aca.,BIODIVERSIDADE,7
24001015029P6,CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),UNIVERSIDADE FEDERAL DA PARAÍBA - CAMPUS JOÃO PESSOA,UFPB-JOÃO PESSOA,Aca.,BIODIVERSIDADE,5
25001019010P6,BIOLOGIA DE FUNGOS,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,BIODIVERSIDADE,6
25001019034P2,OCEANOGRAFIA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,BIODIVERSIDADE,5
25001019038P8,BIOLOGIA VEGETAL,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,BIODIVERSIDADE,7
25001019041P9,BIOLOGIA ANIMAL,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,BIODIVERSIDADE,6
25003011001P0,Biodiversidade,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Aca.,BIODIVERSIDADE,5
28001010039P6,"Ecologia: Teoria, Aplicação e Valores",UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Aca.,BIODIVERSIDADE,4
28002016002P8,BOTÂNICA,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,Aca.,BIODIVERSIDADE,5
28007018004P2,ZOOLOGIA,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Aca.,BIODIVERSIDADE,5
28007018006P5,SISTEMAS AQUÁTICOS TROPICAIS,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Aca.,BIODIVERSIDADE,3
30001013014P6,CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Aca.,BIODIVERSIDADE,5
31001017014P9,CIÊNCIAS BIOLÓGICAS (BOTÂNICA),UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,BIODIVERSIDADE,5
31001017019P0,CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,BIODIVERSIDADE,6
31001017096P5,ECOLOGIA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,BIODIVERSIDADE,7
31002013012P2,BIOLOGIA ANIMAL,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,Aca.,BIODIVERSIDADE,4
31003010039P8,Biologia Marinha e Ambientes Costeiros,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Aca.,BIODIVERSIDADE,4
31057012001P1,BOTÂNICA,INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO,JBRJ,Aca.,BIODIVERSIDADE,5
32001010036P5,ECOLOGIA (CONSERVAÇÃO E MANEJO DA VIDA SILVESTRE),UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Aca.,BIODIVERSIDADE,6
32001010061P0,BIOLOGIA VEGETAL,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Aca.,BIODIVERSIDADE,6
32002017021P4,BOTÂNICA,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Aca.,BIODIVERSIDADE,5
32006012013P7,"Ecologia, Conservação e Biodiversidade",UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Aca.,BIODIVERSIDADE,5
32008015008P6,Biodiversidade e Meio Ambiente ,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Aca.,BIODIVERSIDADE,4
33001014003P2,ECOLOGIA E RECURSOS NATURAIS,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Aca.,BIODIVERSIDADE,4
33002010018P6,CIÊNCIAS BIOLÓGICAS (BOTÂNICA),UNIVERSIDADE DE SÃO PAULO,USP,Aca.,BIODIVERSIDADE,7
33002010027P5,CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),UNIVERSIDADE DE SÃO PAULO,USP,Aca.,BIODIVERSIDADE,6
33002010116P8,ECOLOGIA,UNIVERSIDADE DE SÃO PAULO,USP,Aca.,BIODIVERSIDADE,7
33002029018P1,ENTOMOLOGIA,UNIVERSIDADE DE SÃO PAULO - CAMPUS RIBEIRÃO PRETO,USP-RIBEIRÃO PRETO,Aca.,BIODIVERSIDADE,7
33002029033P0,BIOLOGIA COMPARADA,UNIVERSIDADE DE SÃO PAULO - CAMPUS RIBEIRÃO PRETO,USP-RIBEIRÃO PRETO,Aca.,BIODIVERSIDADE,6
33003017009P3,BIOLOGIA VEGETAL,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Aca.,BIODIVERSIDADE,6
33003017010P1,ECOLOGIA,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Aca.,BIODIVERSIDADE,5
33004064012P8,CIÊNCIAS BIOLÓGICAS (ZOOLOGIA),UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS BOTUCATU,UNESP-BOTUCATU,Aca.,BIODIVERSIDADE,6
33004064025P2,Biologia Vegetal,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS BOTUCATU,UNESP-BOTUCATU,Aca.,BIODIVERSIDADE,6
33004153072P6,Biodiversidade,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS SÃO JOSÉ DO RIO PRETO,UNESP-SÃO JOSÉ DO RIO PRETO,Aca.,BIODIVERSIDADE,5
33120013001P4,BIODIVERSIDADE VEGETAL E MEIO AMBIENTE,INSTITUTO DE PESQUISAS AMBIENTAIS,IPA,Aca.,BIODIVERSIDADE,5
40001016004P9,BOTÂNICA,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Aca.,BIODIVERSIDADE,5
40001016005P5,CIÊNCIAS BIOLÓGICAS (ENTOMOLOGIA),UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Aca.,BIODIVERSIDADE,5
40001016008P4,ZOOLOGIA,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Aca.,BIODIVERSIDADE,4
40001016048P6,ECOLOGIA E CONSERVAÇÃO,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Aca.,BIODIVERSIDADE,6
40002012019P2,CIÊNCIAS BIOLÓGICAS,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Aca.,BIODIVERSIDADE,4
40004015005P4,ECOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Aca.,BIODIVERSIDADE,7
41001010043P0,"BIOLOGIA DE FUNGOS, ALGAS E PLANTAS",UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Aca.,BIODIVERSIDADE,5
42001013007P3,BOTÂNICA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Aca.,BIODIVERSIDADE,5
42001013008P0,ECOLOGIA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Aca.,BIODIVERSIDADE,6
42001013057P0,BIOLOGIA ANIMAL,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Aca.,BIODIVERSIDADE,5
42002010026P8,BIODIVERSIDADE ANIMAL,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Aca.,BIODIVERSIDADE,6
42004012001P4,OCEANOGRAFIA BIOLÓGICA,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Aca.,BIODIVERSIDADE,6
42005019002P7,Ecologia e Evolução da Biodiversidade,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Aca.,BIODIVERSIDADE,6
42007011009P4,BIOLOGIA,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Aca.,BIODIVERSIDADE,4
50001019003P0,ECOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Aca.,BIODIVERSIDADE,5
51001012005P6,ECOLOGIA E CONSERVAÇÃO,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Aca.,BIODIVERSIDADE,6
51001012018P0,BIOLOGIA VEGETAL,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Aca.,BIODIVERSIDADE,4
52001016026P6,ECOLOGIA E EVOLUÇÃO,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Aca.,BIODIVERSIDADE,7
53001010008P4,ECOLOGIA,UNIVERSIDADE DE BRASÍLIA,UNB,Aca.,BIODIVERSIDADE,6
31033016014P7,ECOLOGIA E RECURSOS NATURAIS,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,Aca.,BIODIVERSIDADE,5
32005016012P4,Biodiversidade e Conservação da Natureza,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Aca.,BIODIVERSIDADE,5
20001010012P5,BIODIVERSIDADE E CONSERVAÇÃO,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Aca.,BIODIVERSIDADE,3
42004012013P2,BIOLOGIA DE AMBIENTES AQUÁTICOS CONTINENTAIS,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Aca.,BIODIVERSIDADE,5
40004015026P1,BIOLOGIA COMPARADA,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Aca.,BIODIVERSIDADE,4
32004010017P3,ECOLOGIA APLICADA,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,Aca.,BIODIVERSIDADE,6
32002017030P3,BIOLOGIA ANIMAL,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Aca.,BIODIVERSIDADE,4
40001016054P6,SISTEMAS COSTEIROS E OCEÂNICOS,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Aca.,BIODIVERSIDADE,5
31004016047P3,ECOLOGIA E EVOLUÇÃO,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Aca.,BIODIVERSIDADE,6
15001016052P2,ECOLOGIA AQUÁTICA E PESCA,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,BIODIVERSIDADE,5
51005018003P9,ENTOMOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,Aca.,BIODIVERSIDADE,4
14001012003P9,BIODIVERSIDADE TROPICAL,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Aca.,BIODIVERSIDADE,5
33140014001P8,CONSERVAÇÃO DA BIODIVERSIDADE E DESENVOLVIMENTO SUSTENTÁVEL,INSTITUTO DE PESQUISAS ECOLÓGICAS,IPÊ,Prof.,BIODIVERSIDADE,4
42010012004P0,ECOLOGIA,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,Aca.,BIODIVERSIDADE,3
40005011011P0,BIOLOGIA EVOLUTIVA,UNIVERSIDADE ESTADUAL DO CENTRO-OESTE,UNICENTRO,Aca.,BIODIVERSIDADE,4
32007019016P2,ECOLOGIA DE BIOMAS TROPICAIS,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Aca.,BIODIVERSIDADE,4
27001016017P6,ECOLOGIA E CONSERVAÇÃO,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Aca.,BIODIVERSIDADE,5
28001010065P7,Biodiversidade e Evolução,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Aca.,BIODIVERSIDADE,5
22001018058P0,ECOLOGIA E RECURSOS NATURAIS,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Aca.,BIODIVERSIDADE,4
41001010071P4,ECOLOGIA,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Aca.,BIODIVERSIDADE,5
16003012006P6,"BIODIVERSIDADE, ECOLOGIA E CONSERVAÇÃO.",UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,Aca.,BIODIVERSIDADE,3
50002015002P0,ECOLOGIA E CONSERVAÇÃO,UNIVERSIDADE DO ESTADO DE MATO GROSSO CARLOS ALBERTO REYES MALDONADO,UNEMAT,Aca.,BIODIVERSIDADE,5
22005013001P4,Diversidade Biológica e Recursos Naturais,UNIVERSIDADE REGIONAL DO CARIRI,URCA,Aca.,BIODIVERSIDADE,4
32014015006P0,Biodiversidade e Uso dos Recursos Naturais,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Aca.,BIODIVERSIDADE,4
28002016011P7,Ecologia e evolução,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,Aca.,BIODIVERSIDADE,3
31004016055P6,BIOLOGIA VEGETAL,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Aca.,BIODIVERSIDADE,4
28007018011P9,ECOLOGIA E CONSERVAÇÃO DA BIODIVERSIDADE,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Aca.,BIODIVERSIDADE,6
26001012025P6,Diversidade Biológica e Conservação nos Trópicos,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Aca.,BIODIVERSIDADE,5
28006011009P8,"GENÉTICA, BIODIVERSIDADE E CONSERVAÇÃO",UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,Aca.,BIODIVERSIDADE,3
24004014011P9,Ecologia e Conservação,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Aca.,BIODIVERSIDADE,4
32006012029P0,BIOLOGIA VEGETAL,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Aca.,BIODIVERSIDADE,4
28005015010P0,Biodiversidade Vegetal,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Aca.,BIODIVERSIDADE,3
28001010082P9,Ecologia,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Prof.,BIODIVERSIDADE,4
31010016028P5,Biodiversidade e Saúde,FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ,Aca.,BIODIVERSIDADE,5
51005018011P1,Biodiversidade e Meio Ambiente,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,Aca.,BIODIVERSIDADE,4
23001011059P0,Sistemática e Evolução,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Aca.,BIODIVERSIDADE,5
31021018014P2,Ciências Biológicas (Biodiversidade Neotropical),UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,Aca.,BIODIVERSIDADE,5
32001010089P1,Zoologia,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Aca.,BIODIVERSIDADE,4
51001012029P2,Biologia Animal,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Aca.,BIODIVERSIDADE,4
31001017146P2,Biodiversidade e Biologia Evolutiva,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,BIODIVERSIDADE,7
32002017042P1,Ecologia,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Aca.,BIODIVERSIDADE,5
33009015076P0,Ecologia e Evolução,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,Aca.,BIODIVERSIDADE,4
33087016002P9,Sustentabilidade de Ecossistemas Costeiros e Marinhos,UNIVERSIDADE SANTA CECÍLIA,UNISANTA,Aca.,BIODIVERSIDADE,3
33002010221P6,"Sistemática, Taxonomia Animal e Biodiversidade",UNIVERSIDADE DE SÃO PAULO,USP,Aca.,BIODIVERSIDADE,5
24001040001P4,Ecologia e Sustentabilidade,UNIVERSIDADE FEDERAL DA PARAÍBA - CAMPUS RIO TINTO E MAMANGUAPE,UFPB-RIO TINTO E MAMANGUAPE,Aca.,BIODIVERSIDADE,4
31057012002P8,BIODIVERSIDADE EM UNIDADES DE CONSERVAÇÃO,INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO,JBRJ,Prof.,BIODIVERSIDADE,5
41001010085P5,PERICIAS CRIMINAIS AMBIENTAIS,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Prof.,BIODIVERSIDADE,2
25003011033P9,ETNOBIOLOGIA E CONSERVAÇÃO DA NATUREZA,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Aca.,BIODIVERSIDADE,5
33004048023P9,Biociências,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS ASSIS,UNESP-ASSIS,Aca.,BIODIVERSIDADE,4
53001010099P0,Zoologia,UNIVERSIDADE DE BRASÍLIA,UNB,Aca.,BIODIVERSIDADE,4
33001014048P6,Conservação da Fauna,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Prof.,BIODIVERSIDADE,4
23003014019P0,Ecologia e Conservação,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA,Aca.,BIODIVERSIDADE,3
33144010017P0,Evolução e Diversidade,UNIVERSIDADE FEDERAL DO ABC,UFABC,Aca.,BIODIVERSIDADE,4
33004137067P1,"Ecologia, Evolução e Biodiversidade",UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS RIO CLARO,UNESP-RIO CLARO,Aca.,BIODIVERSIDADE,6
20002017009P0,Ecologia e Conservação da Biodiversidade ,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Aca.,BIODIVERSIDADE,3
52001016070P5,Biodiversidade Animal,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Aca.,BIODIVERSIDADE,4
50001019039P5,Zoologia,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Aca.,BIODIVERSIDADE,4
15001016081P2,Biodiversidade e Conservação,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,BIODIVERSIDADE,3
24001031026P8,Biodiversidade,UNIVERSIDADE FEDERAL DA PARAÍBA - CAMPUS AREIA,UFPB-AREIA,Aca.,BIODIVERSIDADE,3
33004161001P7,BIODIVERSIDADE DE AMBIENTES COSTEIROS,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS LITORAL PAULISTA,UNESP-LITORAL PAULISTA,Aca.,BIODIVERSIDADE,4
32010010040P1,BIOLOGIA ANIMAL,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,Aca.,BIODIVERSIDADE,3
42003016053P8,Biodiversidade Animal,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,Aca.,BIODIVERSIDADE,4
12001015063P6,ZOOLOGIA,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Aca.,BIODIVERSIDADE,4
15001016087P0,ECOLOGIA,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,BIODIVERSIDADE,5
32018010040P9,ECOLOGIA,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,UFSJ,Aca.,BIODIVERSIDADE,3
15027007039P2,BIODIVERSIDADE E EVOLUÇÃO,MUSEU PARAENSE EMÍLIO GOELDI,MPEG,Aca.,BIODIVERSIDADE,4
25003011071P8,BIODIVERSIDADE E CONSERVAÇÃO,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,Aca.,BIODIVERSIDADE,3
52010015104P2,BIODIVERSIDADE E CONSERVAÇÃO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF GOIANO,Aca.,BIODIVERSIDADE,4
33087016004P1,"AUDITORIA AMBIENTAL, PORTOS E GOVERNANÇA",UNIVERSIDADE SANTA CECÍLIA,UNISANTA,Prof.,BIODIVERSIDADE,3
15010015072P9,BIODIVERSIDADE,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,Aca.,BIODIVERSIDADE,3
40043010007P8,BIODIVERSIDADE NEOTROPICAL,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,UNILA,Aca.,BIODIVERSIDADE,4
33009015178P8,BIODIVERSIDADE MARINHA E COSTEIRA,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,Aca.,BIODIVERSIDADE,4
22001018172P8,"SISTEMÁTICA, USO E CONSERVAÇÃO DA BIODIVERSIDADE (PPG-SIS)",UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Aca.,BIODIVERSIDADE,4
32014015102P9,BOTÂNICA APLICADA,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Aca.,BIODIVERSIDADE,3
10001018041P7,CONSERVAÇÃO E USO DE RECURSOS NATURAIS,UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,Aca.,BIODIVERSIDADE,3
43028004001P0,SISTEMÁTICA E CONSERVAÇÃO DA DIVERSIDADE BIOLÓGICA,SECRETARIA DO MEIO AMBIENTE E INFRAESTRUTURA DO RIO GRANDE DO SUL,SEMA/RS,Aca.,BIODIVERSIDADE,3
41006011014P9,BIODIVERSIDADE,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Aca.,BIODIVERSIDADE,3
53001010112P6,BOTÂNICA,UNIVERSIDADE DE BRASÍLIA,UNB,Aca.,BIODIVERSIDADE,4
21001014084P9,BIODIVERSIDADE E CONSERVAÇÃO,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Aca.,BIODIVERSIDADE,3
15001016044P0,NEUROCIÊNCIAS E BIOLOGIA CELULAR,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,5
22001018006P0,BIOQUÍMICA,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,6
22001018007P7,FARMACOLOGIA,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
22003010007P0,CIÊNCIAS FISIOLÓGICAS,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,4
23001011020P6,Bioquímica e Biologia Molecular,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,4
25001019009P8,BIOQUÍMICA E FISIOLOGIA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,5
30001013002P8,CIÊNCIAS FISIOLÓGICAS,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,5
31001017012P6,CIÊNCIAS BIOLÓGICAS (BIOFÍSICA),UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
31001017015P5,CIÊNCIAS BIOLÓGICAS (FARMACOLOGIA E QUÍMICA MEDICINAL),UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,6
31001017087P6,QUÍMICA BIOLÓGICA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
31001017105P4,CIÊNCIAS MORFOLÓGICAS,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
31001017108P3,CIÊNCIAS BIOLÓGICAS (FISIOLOGIA),UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
31003010042P9,NEUROCIÊNCIAS,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,4
31010016004P9,BIOLOGIA CELULAR E MOLECULAR,FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
32001010006P9,BIOQUÍMICA E IMUNOLOGIA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
32001010007P5,CIÊNCIAS BIOLÓGICAS (FISIOLOGIA E FARMACOLOGIA),UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
33002010017P0,CIÊNCIAS BIOLÓGICAS (BIOQUÍMICA),UNIVERSIDADE DE SÃO PAULO,USP,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
33002010019P2,FARMACOLOGIA,UNIVERSIDADE DE SÃO PAULO,USP,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,6
33002010172P5,BIOLOGIA FUNCIONAL E MOLECULAR,UNIVERSIDADE DE SÃO PAULO,USP,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,6
33002010174P8,CIÊNCIAS (FISIOLOGIA GERAL),UNIVERSIDADE DE SÃO PAULO,USP,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,5
33002029002P8,BIOQUÍMICA,UNIVERSIDADE DE SÃO PAULO - CAMPUS RIBEIRÃO PRETO,USP-RIBEIRÃO PRETO,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,6
33002029003P4,CIÊNCIAS BIOLÓGICAS (FARMACOLOGIA),UNIVERSIDADE DE SÃO PAULO - CAMPUS RIBEIRÃO PRETO,USP-RIBEIRÃO PRETO,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
33002029004P0,FISIOLOGIA,UNIVERSIDADE DE SÃO PAULO - CAMPUS RIBEIRÃO PRETO,USP-RIBEIRÃO PRETO,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
33003017051P0,FARMACOLOGIA,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,5
33009015001P0,CIÊNCIAS BIOLÓGICAS (BIOLOGIA MOLECULAR),UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,7
33009015002P7,FARMACOLOGIA,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,Aca.,CIÊNCIAS BIOLÓGICAS II                            ,6
