Local da ocorrência,Município,Data da Restituição
RESIDENCIA PARTICULAR,Icapuí,06/03/2017
NAO INFORMADO,Fortaleza,06/03/2017
RESIDENCIA PARTICULAR,Icapuí,06/03/2017
RESIDENCIA PARTICULAR,Icapuí,06/03/2017
NAO INFORMADO,Fortaleza,06/03/2017
CASA COMERCIAL,Fortaleza,06/03/2017
RESIDENCIA PARTICULAR,Icapuí,06/03/2017
VIA PUBLICA,Guaiúba,07/03/2017
NAO INFORMADO,Fortaleza,07/03/2017
VIA PUBLICA,Maracanaú,07/03/2017
NAO INFORMADO,Fortaleza,07/03/2017
RESIDENCIA PARTICULAR,Frecheirinha,07/03/2017
VIA PUBLICA,Aquiraz,08/03/2017
VIA PUBLICA,Aquiraz,08/03/2017
VIA PUBLICA,Fortaleza,08/03/2017
NAO INFORMADO,Fortaleza,08/03/2017
VIA PUBLICA,Maranguape,09/03/2017
VIA PUBLICA,Fortaleza,09/03/2017
NAO INFORMADO,Fortaleza,09/03/2017
VIA PUBLICA,Frecheirinha,09/03/2017
VIA PUBLICA,Maracanaú,09/03/2017
VIA PUBLICA,Maracanaú,09/03/2017
VIA PUBLICA,Eusébio,09/03/2017
PRACA,Fortaleza,09/03/2017
VIA PUBLICA,Farias Brito,09/03/2017
NAO INFORMADO,Fortaleza,10/03/2017
NAO INFORMADO,Fortaleza,10/03/2017
NAO INFORMADO,Fortaleza,10/03/2017
VIA PUBLICA,Fortaleza,10/03/2017
NAO INFORMADO,Fortaleza,10/03/2017
RESIDENCIA PARTICULAR,Limoeiro do Norte,10/03/2017
VIA PUBLICA,Crato,10/03/2017
CASA COMERCIAL,Crato,11/03/2017
VIA PUBLICA,Fortaleza,11/03/2017
VIA PUBLICA,Eusébio,12/03/2017
VIA PUBLICA,Fortaleza,12/03/2017
VIA PUBLICA,Fortaleza,12/03/2017
VIA PUBLICA,Eusébio,12/03/2017
RESIDENCIA PARTICULAR,Iguatu,12/03/2017
VIA PUBLICA,Fortaleza,13/03/2017
VIA PUBLICA,Caucaia,13/03/2017
VIA PUBLICA,Maracanaú,13/03/2017
VIA PUBLICA,Fortaleza,13/03/2017
VIA PUBLICA,Fortaleza,13/03/2017
VIA PUBLICA,Maracanaú,13/03/2017
VIA PUBLICA,Maracanaú,13/03/2017
VIA PUBLICA,Paraipaba,13/03/2017
VIA PUBLICA,Aracati,13/03/2017
CASA COMERCIAL,Eusébio,13/03/2017
VIA PUBLICA,Maracanaú,13/03/2017
VIA PUBLICA,Maracanaú,14/03/2017
VIA PUBLICA,Fortaleza,14/03/2017
VIA PUBLICA,Eusébio,14/03/2017
VIA PUBLICA,Eusébio,14/03/2017
PRACA,Aracati,14/03/2017
PRACA,Aracati,14/03/2017
CASA COMERCIAL,Tianguá,15/03/2017
REPARTICAO PUBLICA,Cascavel,15/03/2017
VIA PUBLICA,Caucaia,15/03/2017
VIA PUBLICA,Fortaleza,15/03/2017
RESIDENCIA PARTICULAR,Russas,15/03/2017
RESIDENCIA PARTICULAR,Russas,15/03/2017
VIA PUBLICA,Jaguaruana,15/03/2017
RESIDENCIA PARTICULAR,Russas,15/03/2017
RESIDENCIA PARTICULAR,Russas,15/03/2017
VIA PUBLICA,Fortaleza,15/03/2017
VIA PUBLICA,Russas,15/03/2017
NAO INFORMADO,Maranguape,16/03/2017
CASA COMERCIAL,Fortaleza,16/03/2017
VIA PUBLICA,Fortaleza,16/03/2017
CASA COMERCIAL,Fortaleza,16/03/2017
CASA COMERCIAL,Fortaleza,16/03/2017
RESIDENCIA PARTICULAR,Senador Pompeu,16/03/2017
"MERCADO PUBLICO, FEIRA.",Cruz,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
"MERCADO PUBLICO, FEIRA.",Cruz,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
VIA PUBLICA,Fortaleza,17/03/2017
CASA COMERCIAL,Juazeiro do Norte,18/03/2017
RESIDENCIA PARTICULAR,Fortaleza,18/03/2017
VIA PUBLICA,Fortaleza,18/03/2017
CASA COMERCIAL,Juazeiro do Norte,18/03/2017
VIA PUBLICA,Fortaleza,20/03/2017
VIA PUBLICA,Fortaleza,20/03/2017
CASA COMERCIAL,Morada Nova,20/03/2017
VIA PUBLICA,Fortaleza,20/03/2017
VIA PUBLICA,Jaguaruana,20/03/2017
VIA PUBLICA,Fortaleza,20/03/2017
VIA PUBLICA,Juazeiro do Norte,20/03/2017
VIA PUBLICA,Pacajus,20/03/2017
VIA PUBLICA,Juazeiro do Norte,20/03/2017
PRACA,Martinópole,20/03/2017
RESIDENCIA PARTICULAR,Poranga,20/03/2017
RESIDENCIA PARTICULAR,Poranga,20/03/2017
VIA PUBLICA,Fortaleza,21/03/2017
VIA PUBLICA,Russas,21/03/2017
RESIDENCIA PARTICULAR,Fortaleza,21/03/2017
VIA PUBLICA,Fortaleza,21/03/2017
VIA PUBLICA,Aracati,21/03/2017
RESIDENCIA PARTICULAR,Fortaleza,21/03/2017
RESIDENCIA PARTICULAR,Fortaleza,21/03/2017
RESIDENCIA PARTICULAR,Senador Pompeu,21/03/2017
RESIDENCIA PARTICULAR,Fortaleza,22/03/2017
RESIDENCIA PARTICULAR,Fortaleza,22/03/2017
CASA COMERCIAL,Crato,22/03/2017
VIA PUBLICA,Fortaleza,22/03/2017
VIA PUBLICA,Fortaleza,22/03/2017
VIA PUBLICA,Fortaleza,22/03/2017
VIA PUBLICA,Fortaleza,22/03/2017
VIA PUBLICA,Fortaleza,22/03/2017
VIA PUBLICA,Fortaleza,22/03/2017
VIA PUBLICA,Fortaleza,22/03/2017
VIA PUBLICA,Maracanaú,22/03/2017
CASA COMERCIAL,Crato,22/03/2017
VIA PUBLICA,Maracanaú,22/03/2017
CASA COMERCIAL,Juazeiro do Norte,22/03/2017
CASA COMERCIAL,Tianguá,22/03/2017
VIA PUBLICA,Fortaleza,23/03/2017
VIA PUBLICA,Maranguape,23/03/2017
VIA PUBLICA,Juazeiro do Norte,23/03/2017
PRACA,Limoeiro do Norte,23/03/2017
VIA PUBLICA,Fortaleza,23/03/2017
VIA PUBLICA,Fortaleza,24/03/2017
RESIDENCIA PARTICULAR,Maranguape,24/03/2017
VIA PUBLICA,Paraipaba,24/03/2017
VIA PUBLICA,Paraipaba,24/03/2017
VIA PUBLICA,Fortaleza,24/03/2017
NAO INFORMADO,Fortaleza,25/03/2017
VIA PUBLICA,Fortaleza,25/03/2017
VIA PUBLICA,Fortaleza,25/03/2017
PRAIA,Fortaleza,25/03/2017
RESIDENCIA PARTICULAR,Horizonte,25/03/2017
PRAIA,Fortaleza,25/03/2017
NAO INFORMADO,Fortaleza,25/03/2017
"HOTEL, PENSAO, ETC",Aracati,25/03/2017
VIA PUBLICA,Beberibe,25/03/2017
NAO INFORMADO,Fortaleza,25/03/2017
VIA PUBLICA,Beberibe,25/03/2017
NAO INFORMADO,Fortaleza,25/03/2017
CASA COMERCIAL,Sobral,25/03/2017
VIA PUBLICA,Beberibe,26/03/2017
VIA PUBLICA,Fortaleza,26/03/2017
VIA PUBLICA,Fortaleza,27/03/2017
VIA PUBLICA,Fortaleza,27/03/2017
VIA PUBLICA,Fortaleza,27/03/2017
CASA COMERCIAL,Assaré,27/03/2017
VIA PUBLICA,Fortaleza,27/03/2017
VIA PUBLICA,Fortaleza,27/03/2017
VIA PUBLICA,Aracati,27/03/2017
VIA PUBLICA,Tianguá,27/03/2017
VIA PUBLICA,Aracati,27/03/2017
VIA PUBLICA,Fortaleza,28/03/2017
VIA PUBLICA,Fortaleza,28/03/2017
RESIDENCIA PARTICULAR,Marco,28/03/2017
RESIDENCIA PARTICULAR,Tabuleiro do Norte,28/03/2017
VIA PUBLICA,Fortaleza,28/03/2017
VIA PUBLICA,Fortaleza,28/03/2017
RESIDENCIA PARTICULAR,Marco,28/03/2017
"HOSPITAL, CLINICA, ETC",Fortaleza,28/03/2017
RESIDENCIA PARTICULAR,Uruburetama,28/03/2017
VIA PUBLICA,Icó,28/03/2017
CASA COMERCIAL,Crateús,29/03/2017
VIA PUBLICA,Caucaia,29/03/2017
CASA COMERCIAL,Itapajé,29/03/2017
NAO INFORMADO,Fortaleza,29/03/2017
VIA PUBLICA,Fortaleza,29/03/2017
VIA PUBLICA,Fortaleza,29/03/2017
VIA PUBLICA,Fortaleza,30/03/2017
VIA PUBLICA,Limoeiro do Norte,30/03/2017
VIA PUBLICA,Fortaleza,30/03/2017
PRAIA,Fortaleza,31/03/2017
RESIDENCIA PARTICULAR,Juazeiro do Norte,31/03/2017
RESIDENCIA PARTICULAR,Santa Quitéria,31/03/2017
VIA PUBLICA,Limoeiro do Norte,01/04/2017
VIA PUBLICA,Limoeiro do Norte,01/04/2017
VIA PUBLICA,Limoeiro do Norte,01/04/2017
VIA PUBLICA,Limoeiro do Norte,01/04/2017
VIA PUBLICA,Aquiraz,01/04/2017
VIA PUBLICA,Limoeiro do Norte,01/04/2017
VIA PUBLICA,Limoeiro do Norte,01/04/2017
NAO INFORMADO,Fortaleza,01/04/2017
VIA PUBLICA,Fortaleza,01/04/2017
VIA PUBLICA,Juazeiro do Norte,02/04/2017
VIA PUBLICA,Juazeiro do Norte,02/04/2017
VIA PUBLICA,Juazeiro do Norte,02/04/2017
VIA PUBLICA,Fortaleza,03/04/2017
VIA PUBLICA,Fortaleza,03/04/2017
VIA PUBLICA,Fortaleza,04/04/2017
VIA PUBLICA,Fortaleza,04/04/2017
RESIDENCIA PARTICULAR,Sobral,04/04/2017
RESIDENCIA PARTICULAR,Acopiara,04/04/2017
VIA PUBLICA,Fortaleza,04/04/2017
VIA PUBLICA,Viçosa do Ceará,04/04/2017
RESIDENCIA PARTICULAR,Trairi,04/04/2017
VIA PUBLICA,Juazeiro do Norte,04/04/2017
VIA PUBLICA,Fortaleza,04/04/2017
NAO INFORMADO,Fortaleza,04/04/2017
RESIDENCIA PARTICULAR,Trairi,04/04/2017
RESIDENCIA PARTICULAR,Trairi,04/04/2017
VIA PUBLICA,Fortaleza,05/04/2017
VIA PUBLICA,Horizonte,05/04/2017
VIA PUBLICA,Limoeiro do Norte,05/04/2017
VIA PUBLICA,Fortaleza,05/04/2017
VIA PUBLICA,Mauriti,06/04/2017
CASA COMERCIAL,Juazeiro do Norte,06/04/2017
VIA PUBLICA,Fortaleza,06/04/2017
VIA PUBLICA,Fortaleza,06/04/2017
VIA PUBLICA,Fortaleza,06/04/2017
VIA PUBLICA,Fortaleza,06/04/2017
VIA PUBLICA,Fortaleza,06/04/2017
NAO INFORMADO,Fortaleza,06/04/2017
VIA PUBLICA,Fortaleza,06/04/2017
REPARTICAO PUBLICA,Crato,06/04/2017
VIA PUBLICA,Fortaleza,06/04/2017
VIA PUBLICA,Fortaleza,07/04/2017
RESIDENCIA PARTICULAR,Fortaleza,07/04/2017
VIA PUBLICA,Fortaleza,07/04/2017
VIA PUBLICA,Aracati,07/04/2017
CASA COMERCIAL,Fortaleza,07/04/2017
VIA PUBLICA,Fortaleza,07/04/2017
VIA PUBLICA,Fortaleza,07/04/2017
VIA PUBLICA,Caucaia,08/04/2017
"BAR, RESTAURANTE, ETC",Fortaleza,08/04/2017
VIA PUBLICA,Maracanaú,08/04/2017
VIA PUBLICA,Fortaleza,08/04/2017
"HOSPITAL, CLINICA, ETC",Fortaleza,08/04/2017
"BAR, RESTAURANTE, ETC",Fortaleza,08/04/2017
VIA PUBLICA,Fortaleza,08/04/2017
CASA COMERCIAL,Eusébio,09/04/2017
CASA COMERCIAL,Eusébio,09/04/2017
CASA COMERCIAL,Eusébio,09/04/2017
CASA COMERCIAL,Eusébio,09/04/2017
VIA PUBLICA,Iguatu,09/04/2017
VIA PUBLICA,Paraipaba,10/04/2017
CASA COMERCIAL,Aracati,10/04/2017
PRACA,Fortaleza,10/04/2017
CASA COMERCIAL,Tabuleiro do Norte,10/04/2017
VIA PUBLICA,Tianguá,10/04/2017
VIA PUBLICA,Beberibe,10/04/2017
VIA PUBLICA,Beberibe,10/04/2017
VIA PUBLICA,Fortaleza,10/04/2017
VIA PUBLICA,Beberibe,10/04/2017
RESIDENCIA PARTICULAR,Fortaleza,11/04/2017
VIA PUBLICA,Fortaleza,11/04/2017
VIA PUBLICA,Jaguaruana,11/04/2017
VIA PUBLICA,Fortaleza,11/04/2017
VIA PUBLICA,Fortaleza,12/04/2017
RODOVIA,Marco,12/04/2017
RESIDENCIA PARTICULAR,Caucaia,12/04/2017
VIA PUBLICA,Maracanaú,12/04/2017
"BAR, RESTAURANTE, ETC",Quixadá,12/04/2017
VIA PUBLICA,Maracanaú,12/04/2017
RESIDENCIA PARTICULAR,Brejo Santo,12/04/2017
"BAR, RESTAURANTE, ETC",Quixadá,12/04/2017
VIA PUBLICA,Fortaleza,12/04/2017
RESIDENCIA PARTICULAR,Caucaia,12/04/2017
VIA PUBLICA,Fortaleza,12/04/2017
VIA PUBLICA,Maracanaú,12/04/2017
VIA PUBLICA,Fortaleza,12/04/2017
NAO INFORMADO,Tabuleiro do Norte,12/04/2017
VIA PUBLICA,Fortaleza,13/04/2017
NAO INFORMADO,Fortaleza,13/04/2017
VIA PUBLICA,Fortaleza,13/04/2017
VIA PUBLICA,Fortaleza,13/04/2017
VIA PUBLICA,Fortaleza,13/04/2017
NAO INFORMADO,Fortaleza,13/04/2017
NAO INFORMADO,Fortaleza,13/04/2017
NAO INFORMADO,Fortaleza,13/04/2017
VIA PUBLICA,Fortaleza,13/04/2017
VIA PUBLICA,Senador Pompeu,14/04/2017
RESIDENCIA PARTICULAR,Russas,14/04/2017
VIA PUBLICA,Fortaleza,15/04/2017
VIA PUBLICA,Fortaleza,15/04/2017
VIA PUBLICA,Fortaleza,15/04/2017
NAO INFORMADO,Fortaleza,15/04/2017
VIA PUBLICA,Fortaleza,16/04/2017
VIA PUBLICA,Fortaleza,16/04/2017
RESIDENCIA PARTICULAR,Acopiara,16/04/2017
VIA PUBLICA,Fortaleza,16/04/2017
VIA PUBLICA,Fortaleza,16/04/2017
VIA PUBLICA,Fortaleza,16/04/2017
VIA PUBLICA,Quixeramobim,16/04/2017
VIA PUBLICA,Fortaleza,16/04/2017
VIA PUBLICA,Quixeramobim,17/04/2017
NAO INFORMADO,Fortaleza,17/04/2017
NAO INFORMADO,Fortaleza,17/04/2017
VIA PUBLICA,Pacatuba,17/04/2017
VIA PUBLICA,Pacatuba,17/04/2017
PRACA,Fortaleza,17/04/2017
VIA PUBLICA,Fortaleza,17/04/2017
VIA PUBLICA,Pacatuba,17/04/2017
VIA PUBLICA,Pacatuba,17/04/2017
VIA PUBLICA,Tabuleiro do Norte,17/04/2017
RESIDENCIA PARTICULAR,Beberibe,17/04/2017
VIA PUBLICA,Tabuleiro do Norte,17/04/2017
VIA PUBLICA,Fortaleza,18/04/2017
VIA PUBLICA,Fortaleza,18/04/2017
CASA COMERCIAL,Tabuleiro do Norte,18/04/2017
VIA PUBLICA,Pacatuba,18/04/2017
VIA PUBLICA,Fortaleza,18/04/2017
PRAIA,Jijoca de Jericoacoara,18/04/2017
VIA PUBLICA,Fortaleza,18/04/2017
VIA PUBLICA,Cascavel,18/04/2017
VIA PUBLICA,Fortaleza,19/04/2017
CASA COMERCIAL,Tabuleiro do Norte,19/04/2017
NAO INFORMADO,Juazeiro do Norte,19/04/2017
VIA PUBLICA,Fortaleza,20/04/2017
VIA PUBLICA,Santana do Acaraú,20/04/2017
VIA PUBLICA,Fortaleza,20/04/2017
VIA PUBLICA,Cruz,20/04/2017
VIA PUBLICA,Fortaleza,20/04/2017
VIA PUBLICA,Fortaleza,20/04/2017
RESIDENCIA PARTICULAR,Quixadá,20/04/2017
RESIDENCIA PARTICULAR,Quixadá,20/04/2017
RESIDENCIA PARTICULAR,Quixadá,20/04/2017
VIA PUBLICA,Pacujá,20/04/2017
VIA PUBLICA,Fortaleza,21/04/2017
VIA PUBLICA,Barbalha,21/04/2017
VIA PUBLICA,Fortaleza,21/04/2017
VIA PUBLICA,Barbalha,21/04/2017
VIA PUBLICA,Itapajé,22/04/2017
CASA COMERCIAL,Aquiraz,22/04/2017
CASA COMERCIAL,Aquiraz,22/04/2017
VIA PUBLICA,Fortaleza,22/04/2017
VIA PUBLICA,Juazeiro do Norte,22/04/2017
VIA PUBLICA,São Gonçalo do Amarante,22/04/2017
RESIDENCIA PARTICULAR,Limoeiro do Norte,22/04/2017
RESIDENCIA PARTICULAR,Fortaleza,22/04/2017
VIA PUBLICA,Maracanaú,23/04/2017
"BAR, RESTAURANTE, ETC",Fortaleza,23/04/2017
RESIDENCIA PARTICULAR,Limoeiro do Norte,23/04/2017
RESIDENCIA PARTICULAR,Caucaia,24/04/2017
RESIDENCIA PARTICULAR,Caucaia,24/04/2017
RESIDENCIA PARTICULAR,Caucaia,24/04/2017
"BAR, RESTAURANTE, ETC",Jijoca de Jericoacoara,24/04/2017
"BAR, RESTAURANTE, ETC",Jijoca de Jericoacoara,24/04/2017
VIA PUBLICA,Fortaleza,24/04/2017
"BAR, RESTAURANTE, ETC",Fortaleza,24/04/2017
"BAR, RESTAURANTE, ETC",Jijoca de Jericoacoara,24/04/2017
VIA PUBLICA,Quixadá,24/04/2017
RESIDENCIA PARTICULAR,Itapajé,24/04/2017
NAO INFORMADO,Fortaleza,24/04/2017
VIA PUBLICA,Mauriti,24/04/2017
VIA PUBLICA,Caucaia,25/04/2017
VIA PUBLICA,Fortaleza,25/04/2017
VIA PUBLICA,Fortaleza,25/04/2017
VIA PUBLICA,Fortaleza,25/04/2017
VIA PUBLICA,Fortaleza,25/04/2017
VIA PUBLICA,Santana do Acaraú,25/04/2017
VIA PUBLICA,Fortaleza,25/04/2017
VIA PUBLICA,Caucaia,25/04/2017
VIA PUBLICA,Fortaleza,25/04/2017
RESIDENCIA PARTICULAR,Limoeiro do Norte,26/04/2017
RESIDENCIA PARTICULAR,Limoeiro do Norte,26/04/2017
VIA PUBLICA,Fortaleza,26/04/2017
VIA PUBLICA,São Gonçalo do Amarante,26/04/2017
VIA PUBLICA,Fortaleza,27/04/2017
CASA COMERCIAL,Cedro,27/04/2017
NAO INFORMADO,Fortaleza,27/04/2017
RESIDENCIA PARTICULAR,Aracati,27/04/2017
VIA PUBLICA,Fortaleza,28/04/2017
VIA PUBLICA,Fortaleza,28/04/2017
VIA PUBLICA,Fortaleza,28/04/2017
VIA PUBLICA,Fortaleza,29/04/2017
VIA PUBLICA,Fortaleza,29/04/2017
VIA PUBLICA,Fortaleza,29/04/2017
VIA PUBLICA,Várzea Alegre,29/04/2017
VIA PUBLICA,Fortaleza,29/04/2017
VIA PUBLICA,Maracanaú,30/04/2017
VIA PUBLICA,Fortaleza,30/04/2017
RESIDENCIA PARTICULAR,São Gonçalo do Amarante,30/04/2017
VIA PUBLICA,Maracanaú,30/04/2017
PRAIA,Fortaleza,30/04/2017
VIA PUBLICA,Pacatuba,30/04/2017
VIA PUBLICA,Aracati,30/04/2017
VIA PUBLICA,Juazeiro do Norte,30/04/2017
CASA COMERCIAL,Fortaleza,01/05/2017
VIA PUBLICA,Fortaleza,01/05/2017
VIA PUBLICA,Fortaleza,02/05/2017
VIA PUBLICA,Tabuleiro do Norte,02/05/2017
VIA PUBLICA,Meruoca,02/05/2017
VIA PUBLICA,Fortaleza,02/05/2017
FARMACIA,Fortaleza,03/05/2017
RESIDENCIA PARTICULAR,Fortaleza,03/05/2017
VIA PUBLICA,Fortaleza,03/05/2017
VIA PUBLICA,Fortaleza,03/05/2017
VIA PUBLICA,Fortaleza,03/05/2017
VIA PUBLICA,Fortaleza,03/05/2017
VIA PUBLICA,Fortaleza,03/05/2017
VIA PUBLICA,Fortaleza,03/05/2017
RESIDENCIA PARTICULAR,Fortaleza,03/05/2017
VIA PUBLICA,Fortaleza,03/05/2017
VIA PUBLICA,Fortaleza,03/05/2017
VIA PUBLICA,Santana do Acaraú,03/05/2017
VIA PUBLICA,Tianguá,03/05/2017
VIA PUBLICA,Fortaleza,03/05/2017
RESIDENCIA PARTICULAR,Fortaleza,03/05/2017
VIA PUBLICA,Fortaleza,03/05/2017
VIA PUBLICA,São Benedito,03/05/2017
PENITENCIARIA/REFORMATORIO,Pentecoste,03/05/2017
NAO INFORMADO,Fortaleza,03/05/2017
VIA PUBLICA,Sobral,04/05/2017
VIA PUBLICA,Jaguaruana,04/05/2017
RESIDENCIA PARTICULAR,Juazeiro do Norte,04/05/2017
"MERCADO PUBLICO, FEIRA.",Itarema,04/05/2017
NAO INFORMADO,Ubajara,04/05/2017
VIA PUBLICA,Fortaleza,04/05/2017
VIA PUBLICA,Bela Cruz,04/05/2017
VIA PUBLICA,Bela Cruz,04/05/2017
VIA PUBLICA,Aracati,04/05/2017
VIA PUBLICA,Fortaleza,04/05/2017
VIA PUBLICA,Fortaleza,04/05/2017
VIA PUBLICA,Fortaleza,04/05/2017
VIA PUBLICA,Fortaleza,04/05/2017
VIA PUBLICA,Fortaleza,04/05/2017
VIA PUBLICA,Fortaleza,05/05/2017
VIA PUBLICA,Várzea Alegre,05/05/2017
VIA PUBLICA,Fortaleza,05/05/2017
RESIDENCIA PARTICULAR,Quixeramobim,05/05/2017
VIA PUBLICA,Fortaleza,05/05/2017
VIA PUBLICA,Fortaleza,06/05/2017
VIA PUBLICA,Fortaleza,06/05/2017
VIA PUBLICA,Fortaleza,06/05/2017
VIA PUBLICA,Fortaleza,06/05/2017
VIA PUBLICA,Iguatu,06/05/2017
VIA PUBLICA,Fortaleza,06/05/2017
"BAR, RESTAURANTE, ETC",Mombaça,07/05/2017
"BAR, RESTAURANTE, ETC",Iracema,07/05/2017
VIA PUBLICA,Fortaleza,07/05/2017
VIA PUBLICA,Maranguape,07/05/2017
VIA PUBLICA,Fortaleza,08/05/2017
VIA PUBLICA,Fortaleza,08/05/2017
CASA COMERCIAL,Jaguaruana,08/05/2017
VIA PUBLICA,Fortaleza,08/05/2017
VIA PUBLICA,Fortaleza,08/05/2017
VIA PUBLICA,Fortaleza,08/05/2017
VIA PUBLICA,Fortaleza,08/05/2017
VIA PUBLICA,Fortaleza,08/05/2017
VIA PUBLICA,Fortaleza,08/05/2017
"INST.FINANCEIRA(BANCO,CX ELET)",Fortaleza,08/05/2017
VIA PUBLICA,Fortaleza,08/05/2017
VIA PUBLICA,Fortaleza,08/05/2017
RESIDENCIA PARTICULAR,Baixio,08/05/2017
VIA PUBLICA,Maracanaú,08/05/2017
RESIDENCIA PARTICULAR,Baixio,08/05/2017
RESIDENCIA PARTICULAR,Baixio,08/05/2017
RESIDENCIA PARTICULAR,Baixio,08/05/2017
VIA PUBLICA,Fortaleza,09/05/2017
VIA PUBLICA,Varjota,09/05/2017
CASA COMERCIAL,Tianguá,09/05/2017
VIA PUBLICA,Fortaleza,09/05/2017
CASA COMERCIAL,Tianguá,09/05/2017
CASA COMERCIAL,Tianguá,09/05/2017
INDUSTRIA,Fortaleza,09/05/2017
CASA COMERCIAL,Tianguá,09/05/2017
VIA PUBLICA,Várzea Alegre,09/05/2017
VIA PUBLICA,Fortaleza,09/05/2017
VIA PUBLICA,Fortaleza,09/05/2017
VIA PUBLICA,Ubajara,09/05/2017
CASA COMERCIAL,Tianguá,09/05/2017
"BAR, RESTAURANTE, ETC",Várzea Alegre,09/05/2017
"BAR, RESTAURANTE, ETC",Várzea Alegre,09/05/2017
RODOVIA,Beberibe,10/05/2017
RESIDENCIA PARTICULAR,Itarema,10/05/2017
VIA PUBLICA,Fortaleza,10/05/2017
VIA PUBLICA,Maranguape,10/05/2017
RESIDENCIA PARTICULAR,Itarema,10/05/2017
VIA PUBLICA,Fortaleza,10/05/2017
VIA PUBLICA,Fortaleza,10/05/2017
VIA PUBLICA,Fortaleza,11/05/2017
CASA COMERCIAL,Coreaú,11/05/2017
VIA PUBLICA,Quixadá,11/05/2017
CASA COMERCIAL,Coreaú,11/05/2017
VIA PUBLICA,Fortaleza,11/05/2017
RESIDENCIA PARTICULAR,Cruz,11/05/2017
VIA PUBLICA,Fortaleza,11/05/2017
VIA PUBLICA,Fortaleza,11/05/2017
VIA PUBLICA,Fortaleza,11/05/2017
CASA COMERCIAL,Coreaú,11/05/2017
RESIDENCIA PARTICULAR,Morada Nova,11/05/2017
VIA PUBLICA,Fortaleza,11/05/2017
VIA PUBLICA,Horizonte,11/05/2017
VIA PUBLICA,Aracati,12/05/2017
RODOVIA,Sobral,12/05/2017
CASA COMERCIAL,Fortaleza,12/05/2017
VIA PUBLICA,Aracati,12/05/2017
VIA PUBLICA,Caucaia,12/05/2017
VIA PUBLICA,Croatá,12/05/2017
VIA PUBLICA,Itaitinga,12/05/2017
VIA PUBLICA,Várzea Alegre,12/05/2017
RODOVIA,Sobral,12/05/2017
RODOVIA,Sobral,12/05/2017
VIA PUBLICA,Fortaleza,12/05/2017
"HOSPITAL, CLINICA, ETC",Sobral,12/05/2017
VIA PUBLICA,Horizonte,12/05/2017
RESIDENCIA PARTICULAR,Baixio,12/05/2017
VIA PUBLICA,Horizonte,12/05/2017
PRAIA,Fortaleza,13/05/2017
VIA PUBLICA,Canindé,13/05/2017
VIA PUBLICA,Fortaleza,13/05/2017
VIA PUBLICA,Carnaubal,13/05/2017
VIA PUBLICA,Fortaleza,15/05/2017
VIA PUBLICA,Iguatu,15/05/2017
"BAR, RESTAURANTE, ETC",Fortaleza,15/05/2017
RESIDENCIA PARTICULAR,Viçosa do Ceará,15/05/2017
VIA PUBLICA,Caucaia,15/05/2017
VIA PUBLICA,Aracoiaba,15/05/2017
"HOSPITAL, CLINICA, ETC",Maranguape,15/05/2017
"BAR, RESTAURANTE, ETC",Fortaleza,15/05/2017
"HOSPITAL, CLINICA, ETC",Maranguape,15/05/2017
"HOSPITAL, CLINICA, ETC",Maranguape,15/05/2017
VIA PUBLICA,Fortaleza,15/05/2017
VIA PUBLICA,Fortaleza,16/05/2017
VIA PUBLICA,Fortaleza,16/05/2017
VIA PUBLICA,Fortaleza,16/05/2017
VIA PUBLICA,Jijoca de Jericoacoara,16/05/2017
VIA PUBLICA,Fortaleza,16/05/2017
VIA PUBLICA,Fortaleza,16/05/2017
VIA PUBLICA,Independência,16/05/2017
RESIDENCIA PARTICULAR,São Gonçalo do Amarante,16/05/2017
VIA PUBLICA,Independência,16/05/2017
RESIDENCIA PARTICULAR,São Gonçalo do Amarante,16/05/2017
VIA PUBLICA,Iguatu,17/05/2017
VIA PUBLICA,Fortaleza,17/05/2017
VIA PUBLICA,Ibiapina,17/05/2017
VIA PUBLICA,Fortaleza,17/05/2017
RESIDENCIA PARTICULAR,Tauá,17/05/2017
PRAIA,Fortaleza,17/05/2017
VIA PUBLICA,Fortaleza,18/05/2017
VIA PUBLICA,Maracanaú,18/05/2017
"BAR, RESTAURANTE, ETC",Independência,18/05/2017
"BAR, RESTAURANTE, ETC",Independência,18/05/2017
RESIDENCIA PARTICULAR,Granja,18/05/2017
VIA PUBLICA,Fortaleza,18/05/2017
CASA COMERCIAL,Fortaleza,18/05/2017
VIA PUBLICA,Fortaleza,19/05/2017
VIA PUBLICA,Maracanaú,19/05/2017
NAO INFORMADO,Sobral,19/05/2017
VIA PUBLICA,Fortaleza,19/05/2017
VIA PUBLICA,Maracanaú,19/05/2017
VIA PUBLICA,Tianguá,19/05/2017
VIA PUBLICA,Fortaleza,19/05/2017
VIA PUBLICA,Fortaleza,19/05/2017
RESIDENCIA PARTICULAR,Jaguaribe,19/05/2017
