Gênero do indiciado,Hora,Data,Idade do indiciado
Masculino,09:20:00,23/09/2020,21
Masculino,09:20:00,23/09/2020,24
Masculino,06:30:00,09/10/2020,21
Masculino,19:30:00,20/10/2020,21
Masculino,11:00:00,22/10/2020,19
Masculino,17:00:00,22/10/2020,35
Masculino,17:00:00,22/10/2020,26
Masculino,06:00:00,07/11/2020,21
Feminino,13:28:00,20/11/2020,23
Feminino,17:00:00,21/11/2020,Não Informado
Masculino,17:00:00,21/11/2020,Não Informado
Masculino,17:00:00,21/11/2020,Não Informado
Masculino,10:40:00,02/12/2020,32
Masculino,17:00:00,09/12/2020,24
Masculino,17:00:00,09/12/2020,40
Masculino,21:00:00,21/12/2020,18
Masculino,21:00:00,21/12/2020,24
Masculino,08:40:00,25/12/2020,21
Masculino,15:30:00,28/12/2020,33
Masculino,21:30:00,17/01/2021,31
Masculino,17:40:00,21/01/2021,28
Masculino,17:40:00,21/01/2021,Não Informado
Masculino,15:30:00,26/01/2021,31
Masculino,22:20:00,28/01/2021,29
Masculino,22:20:00,28/01/2021,26
Feminino,04:50:00,02/02/2021,21
Masculino,04:50:00,02/02/2021,21
Masculino,13:53:00,13/02/2021,29
Masculino,16:20:00,19/02/2021,22
Masculino,15:30:00,03/03/2021,24
Masculino,18:30:00,04/03/2021,34
Masculino,20:00:00,10/03/2021,37
Masculino,05:30:00,19/03/2021,19
Masculino,05:30:00,19/03/2021,21
Masculino,22:30:00,06/04/2021,24
Masculino,12:00:00,10/04/2021,30
Masculino,16:52:00,22/04/2021,25
Masculino,07:00:00,06/05/2021,22
Masculino,21:45:00,18/05/2021,20
Masculino,21:45:00,18/05/2021,18
Masculino,21:45:00,18/05/2021,20
Feminino,14:40:00,22/05/2021,18
Masculino,14:40:00,22/05/2021,27
Masculino,13:00:00,30/05/2021,21
Masculino,07:15:00,02/06/2021,24
Masculino,21:20:23,17/06/2021,21
Masculino,23:10:00,25/06/2021,26
Masculino,23:10:00,25/06/2021,21
Masculino,19:50:00,06/07/2021,55
Masculino,14:30:00,10/07/2021,34
Masculino,22:30:00,23/07/2021,24
Feminino,23:20:00,24/07/2021,25
Masculino,21:15:00,31/07/2021,20
Masculino,21:15:00,31/07/2021,18
Masculino,12:00:00,07/08/2021,19
Masculino,16:00:00,13/08/2021,Não Informado
Feminino,14:00:00,31/08/2021,19
Masculino,07:25:00,07/09/2021,23
Masculino,07:25:00,07/09/2021,27
Masculino,13:55:00,14/09/2021,32
Masculino,13:55:00,14/09/2021,23
Feminino,23:40:00,22/09/2021,32
Masculino,23:40:00,22/09/2021,29
Masculino,15:30:00,01/10/2021,25
Masculino,15:14:00,14/10/2021,28
Masculino,15:14:00,14/10/2021,25
Feminino,14:40:00,22/10/2021,35
Masculino,19:45:00,22/10/2021,21
Masculino,13:30:00,07/11/2021,20
Masculino,19:30:00,09/11/2021,35
Masculino,20:50:00,11/11/2021,21
Masculino,20:50:00,11/11/2021,20
Masculino,23:30:00,18/11/2021,29
Masculino,08:00:00,29/11/2021,20
Masculino,08:00:00,29/11/2021,35
Masculino,17:36:00,02/12/2021,19
Masculino,10:30:00,03/12/2021,25
Masculino,16:00:00,07/12/2021,28
Masculino,16:00:00,07/12/2021,19
Masculino,20:50:00,16/12/2021,Não Informado
Masculino,19:51:00,18/12/2021,21
Masculino,19:51:00,18/12/2021,18
Masculino,19:51:00,18/12/2021,18
Feminino,16:20:00,05/01/2022,22
Masculino,21:30:00,20/01/2022,24
Masculino,21:30:00,20/01/2022,19
Masculino,21:30:00,20/01/2022,24
Masculino,21:30:00,20/01/2022,19
Masculino,03:30:00,22/01/2022,35
Masculino,03:30:00,22/01/2022,31
Masculino,03:30:00,22/01/2022,18
Masculino,21:00:00,26/01/2022,32
Feminino,02:00:00,30/01/2022,45
Masculino,02:00:00,30/01/2022,33
Masculino,18:00:00,04/02/2022,28
Masculino,18:00:00,04/02/2022,26
Masculino,14:20:00,09/02/2022,29
Masculino,18:00:00,11/02/2022,20
Masculino,09:50:00,13/02/2022,18
Masculino,08:30:00,16/02/2022,47
Masculino,08:30:00,16/02/2022,32
Masculino,20:50:00,28/02/2022,24
Masculino,20:50:00,28/02/2022,28
Masculino,02:45:00,03/03/2022,37
Masculino,02:45:00,03/03/2022,25
Masculino,02:45:00,03/03/2022,27
Masculino,02:45:00,03/03/2022,19
Masculino,08:45:00,03/03/2022,31
Masculino,19:30:00,17/03/2022,25
Masculino,13:40:00,21/03/2022,22
Masculino,13:40:00,21/03/2022,18
Masculino,13:40:00,21/03/2022,21
Masculino,19:00:00,27/03/2022,18
Masculino,19:30:00,01/04/2022,31
Masculino,16:50:00,03/04/2022,38
Masculino,16:50:00,03/04/2022,24
Masculino,16:00:00,04/04/2022,22
Masculino,09:30:00,08/04/2022,Não Informado
Masculino,09:30:00,08/04/2022,Não Informado
Masculino,20:45:00,10/04/2022,21
Masculino,09:04:00,20/04/2022,36
Feminino,18:30:00,23/04/2022,21
Masculino,18:30:00,23/04/2022,23
Masculino,13:00:00,28/04/2022,33
Masculino,13:00:00,28/04/2022,26
Masculino,23:30:00,30/04/2022,21
Masculino,15:00:00,02/05/2022,22
Masculino,11:50:00,03/05/2022,23
Masculino,11:50:00,03/05/2022,20
Masculino,16:03:00,04/05/2022,33
Masculino,21:30:00,14/05/2022,26
Masculino,19:24:00,22/05/2022,23
Masculino,19:24:00,22/05/2022,19
Masculino,08:00:00,27/05/2022,22
Masculino,17:00:00,29/05/2022,24
Feminino,17:00:00,29/05/2022,36
Masculino,20:00:00,30/05/2022,30
Masculino,12:30:00,03/06/2022,25
Masculino,14:39:00,21/06/2022,20
Masculino,10:15:00,28/06/2022,29
Masculino,00:10:00,03/07/2022,21
Masculino,00:10:00,03/07/2022,20
Masculino,00:10:00,03/07/2022,23
Masculino,22:00:00,03/07/2022,40
Masculino,20:16:00,10/07/2022,26
Masculino,20:16:00,10/07/2022,46
Masculino,20:16:00,10/07/2022,23
Masculino,00:25:00,14/07/2022,37
Masculino,19:30:00,20/07/2022,19
Masculino,19:30:00,20/07/2022,18
Masculino,20:30:00,22/07/2022,38
Masculino,20:30:00,22/07/2022,40
Masculino,10:30:00,26/07/2022,25
Masculino,07:30:00,29/07/2022,21
Masculino,07:30:00,29/07/2022,18
Masculino,06:30:00,06/08/2022,24
Masculino,06:30:00,06/08/2022,27
Masculino,10:00:00,08/08/2022,20
Masculino,05:00:00,14/08/2022,25
Masculino,16:00:00,21/08/2022,18
Masculino,16:10:00,29/08/2022,21
Masculino,16:10:00,29/08/2022,18
Masculino,20:20:00,01/09/2022,23
Masculino,10:30:00,07/09/2022,27
Masculino,10:30:00,07/09/2022,23
Masculino,13:25:00,09/09/2022,19
Masculino,10:50:00,16/09/2022,33
Masculino,13:00:00,17/09/2022,22
Masculino,15:00:00,24/09/2022,20
Feminino,17:10:00,06/10/2022,38
Masculino,17:10:00,06/10/2022,25
Masculino,23:50:00,08/10/2022,20
Masculino,22:50:00,12/10/2022,27
Masculino,19:30:00,20/10/2022,28
Masculino,21:00:00,21/10/2022,18
Masculino,21:00:00,21/10/2022,18
Masculino,21:40:00,03/11/2022,22
Masculino,13:30:00,08/11/2022,35
Masculino,08:00:00,12/11/2022,25
Masculino,11:00:00,15/11/2022,37
Masculino,11:00:00,15/11/2022,22
Masculino,11:00:00,15/11/2022,20
Masculino,18:40:00,16/11/2022,24
Feminino,18:40:00,16/11/2022,35
Masculino,18:40:00,16/11/2022,26
Masculino,15:00:00,19/11/2022,37
Masculino,19:30:00,01/12/2022,27
Masculino,09:25:00,04/12/2022,29
Masculino,15:45:00,04/12/2022,41
Masculino,13:50:00,07/12/2022,28
Masculino,19:40:00,21/12/2022,27
Masculino,22:00:00,24/12/2022,34
Masculino,06:30:00,06/01/2023,26
Masculino,08:30:00,11/01/2023,35
Masculino,08:55:00,11/01/2023,42
Masculino,12:30:00,20/01/2023,26
Masculino,22:00:00,21/01/2023,18
Masculino,15:48:00,26/01/2023,32
Masculino,15:40:00,02/02/2023,24
Feminino,15:40:00,02/02/2023,26
Masculino,08:00:00,17/02/2023,19
Masculino,22:30:00,24/02/2023,19
Masculino,14:00:00,25/02/2023,35
Masculino,11:30:00,27/02/2023,19
Masculino,19:30:00,09/03/2023,27
Masculino,08:40:00,11/03/2023,38
Masculino,08:40:00,11/03/2023,21
Masculino,08:40:00,11/03/2023,21
Masculino,21:30:00,11/03/2023,30
Masculino,17:30:00,12/03/2023,19
Masculino,04:30:00,14/03/2023,18
Masculino,10:00:00,17/03/2023,23
Masculino,10:00:00,17/03/2023,28
Masculino,13:45:00,18/03/2023,20
Masculino,15:00:00,21/03/2023,25
Masculino,15:00:00,21/03/2023,29
Masculino,13:00:00,22/03/2023,19
Masculino,14:45:00,25/03/2023,19
Feminino,14:45:00,25/03/2023,18
Masculino,22:10:00,30/03/2023,Não Informado
Masculino,22:10:00,30/03/2023,33
Masculino,21:10:00,01/04/2023,29
Masculino,23:00:00,07/04/2023,18
Masculino,06:45:00,06/05/2023,26
Masculino,06:45:00,06/05/2023,20
Masculino,16:38:00,15/05/2023,22
Masculino,21:30:00,16/05/2023,33
Masculino,13:40:00,20/05/2023,29
Masculino,14:00:00,20/05/2023,Não Informado
Masculino,02:15:00,21/05/2023,18
Masculino,02:15:00,21/05/2023,19
Masculino,10:50:00,22/05/2023,23
Masculino,22:30:00,26/05/2023,27
Masculino,15:00:00,28/05/2023,19
Masculino,11:40:00,01/06/2023,43
Masculino,10:20:00,05/06/2023,21
Masculino,20:40:00,05/06/2023,31
Masculino,11:30:00,09/06/2023,38
Masculino,20:30:00,09/06/2023,21
Masculino,20:30:00,09/06/2023,23
Masculino,06:46:00,11/06/2023,24
Masculino,06:46:00,11/06/2023,24
Masculino,06:46:00,11/06/2023,19
Masculino,16:10:00,11/06/2023,37
Masculino,20:00:00,18/06/2023,28
Masculino,18:50:00,23/06/2023,39
Masculino,11:30:00,24/06/2023,20
Masculino,11:30:00,24/06/2023,25
Masculino,22:00:00,24/06/2023,20
Masculino,22:00:00,24/06/2023,25
Masculino,22:00:00,24/06/2023,20
Masculino,16:40:00,25/06/2023,25
Masculino,16:40:00,25/06/2023,20
Masculino,19:00:00,25/06/2023,18
Feminino,19:30:00,26/06/2023,Não Informado
Masculino,08:04:00,28/06/2023,32
Masculino,06:26:00,03/07/2023,39
Masculino,19:30:00,07/07/2023,43
Masculino,07:15:00,08/07/2023,42
Masculino,14:36:00,15/07/2023,23
Masculino,14:36:00,15/07/2023,24
Masculino,14:36:00,15/07/2023,20
Masculino,23:50:00,22/07/2023,55
Masculino,23:50:00,22/07/2023,30
Masculino,16:30:00,27/07/2023,20
Masculino,13:00:00,10/08/2023,21
Masculino,13:00:00,10/08/2023,34
Masculino,13:00:00,10/08/2023,34
Masculino,22:00:00,11/08/2023,21
Masculino,12:30:00,13/08/2023,19
Masculino,12:30:00,13/08/2023,19
Masculino,20:20:00,16/08/2023,35
Masculino,06:52:00,18/08/2023,32
Masculino,17:00:00,21/08/2023,34
Masculino,15:00:00,28/08/2023,25
Masculino,15:00:00,28/08/2023,29
Masculino,15:00:00,28/08/2023,22
