Ano,Mes,Dia,Evento,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2010,11,6,Cartão Amarelo,1,0,Atlético Mineiro,Brasileirão,Santos,2-2,Empate
2010,11,3,Gol,1,0,Vitória,Brasileirão,Santos,1-1,Empate
2010,11,3,Cartão Amarelo,1,0,Vitória,Brasileirão,Santos,1-1,Empate
2010,10,30,Apenas Participação,0,0,Internacional,Brasileirão,Santos,1-1,Empate
2010,10,24,Apenas Participação,0,0,Grêmio Barueri,Brasileirão,Santos,2-3,Derrota
2010,10,17,Gol,0,0,São Paulo,Brasileirão,Santos,4-3,Derrota
2010,10,13,Gol,0,0,Internacional,Brasileirão,Santos,1-0,Vitória
2010,10,9,Assistência,1,0,Athletico Paranaense,Brasileirão,Santos,2-0,Vitória
2010,10,9,Cartão Amarelo,1,0,Athletico Paranaense,Brasileirão,Santos,2-0,Vitória
2010,10,6,Apenas Participação,0,0,Fluminense,Brasileirão,Santos,0-3,Vitória
2010,10,2,Apenas Participação,0,0,Palmeiras,Brasileirão,Santos,1-1,Empate
2010,9,28,Apenas Participação,0,0,Vasco,Brasileirão,Santos,3-1,Derrota
2010,9,25,Gol,0,0,Cruzeiro,Brasileirão,Santos,4-1,Vitória
2010,9,22,Gol,0,0,Corinthians,Brasileirão,Santos,2-3,Derrota
2010,9,15,Assistência,0,0,Atlético Goianiense,Brasileirão,Santos,4-2,Vitória
2010,9,12,Assistência,0,0,Ceará,Brasileirão,Santos,2-1,Derrota
2010,9,9,Apenas Participação,0,0,Botafogo,Brasileirão,Santos,0-1,Derrota
2010,9,2,Gol,1,0,Avaí,Brasileirão,Santos,2-1,Vitória
2010,9,2,Cartão Amarelo,1,0,Avaí,Brasileirão,Santos,2-1,Vitória
2010,8,28,Apenas Participação,0,0,Goiás,Brasileirão,Santos,2-0,Vitória
2010,8,25,Gol,1,0,Grêmio,Brasileirão,Santos,1-2,Vitória
2010,8,25,Cartão Amarelo,1,0,Grêmio,Brasileirão,Santos,1-2,Vitória
2010,8,22,Gol,0,0,Atlético Mineiro,Brasileirão,Santos,2-0,Vitória
2010,8,22,Assistência,0,0,Atlético Mineiro,Brasileirão,Santos,2-0,Vitória
