Ano,Mes,Dia,Ação,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2015,09,15,3 Gol(s),0,0,Shakhtar Donetsk,Champions League,Real Madrid,4-0,Vitória
2015,09,12,5 Gol(s) / 1 Assist.,0,0,Espanyol,La Liga (Espanha),Real Madrid,0-6,Vitória
2015,09,07,Nenhuma,0,0,Albânia,EE,Portugal,0-1,Vitória
2015,09,04,Nenhuma,0,0,França,Amistosos da Seleção,Portugal,0-1,Derrota
2015,08,29,Nenhuma,0,0,Real Betis,La Liga (Espanha),Real Madrid,5-0,Vitória
2015,08,23,Nenhuma,0,0,Sporting Gijón,La Liga (Espanha),Real Madrid,0-0,Empate
2015,06,13,3 Gol(s),0,0,Armênia,EE,Portugal,2-3,Vitória
2015,05,23,3 Gol(s),0,0,Getafe,La Liga (Espanha),Real Madrid,7-3,Vitória
2015,05,17,3 Gol(s) / 1 Assist.,0,0,Espanyol,La Liga (Espanha),Real Madrid,1-4,Vitória
2015,05,13,1 Gol(s),0,0,Juventus,Champions League,Real Madrid,1-1,Empate
2015,05,09,Nenhuma,0,0,Valencia,La Liga (Espanha),Real Madrid,2-2,Empate
2015,05,05,1 Gol(s),0,0,Juventus,Champions League,Real Madrid,2-1,Derrota
2015,05,02,3 Gol(s),0,0,Sevilla,La Liga (Espanha),Real Madrid,2-3,Vitória
2015,04,29,Nenhuma,0,0,Almería,La Liga (Espanha),Real Madrid,3-0,Vitória
2015,04,26,1 Assist.,0,0,Celta de Vigo,La Liga (Espanha),Real Madrid,2-4,Vitória
2015,04,22,1 Assist.,0,0,Atlético de Madrid,Champions League,Real Madrid,1-0,Vitória
2015,04,18,1 Gol(s) / 2 Assist.,0,0,Málaga,La Liga (Espanha),Real Madrid,3-1,Vitória
2015,04,14,Nenhuma,0,0,Atlético de Madrid,Champions League,Real Madrid,0-0,Empate
2015,04,11,1 Gol(s),0,0,Eibar,La Liga (Espanha),Real Madrid,3-0,Vitória
2015,04,08,1 Gol(s) / 1 Assist.,1,0,Rayo Vallecano,La Liga (Espanha),Real Madrid,0-2,Vitória
2015,04,05,5 Gol(s),0,0,Granada,La Liga (Espanha),Real Madrid,9-1,Vitória
2015,03,29,Nenhuma,0,0,Sérvia,EE,Portugal,2-1,Vitória
2015,03,22,1 Gol(s),1,0,Barcelona,La Liga (Espanha),Real Madrid,2-1,Derrota
2015,03,15,1 Assist.,0,0,Levante,La Liga (Espanha),Real Madrid,2-0,Vitória
