Jogador,Ano,Mes,Dia,Evento,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
Neymar,2014,3,23,Assistência,0,0,Real Madrid,La Liga (Espanha),Barcelona,3-4,Vitória
Neymar,2014,3,16,Apenas Participação,0,0,Osasuna,La Liga (Espanha),Barcelona,7-0,Vitória
Neymar,2014,3,12,Apenas Participação,0,0,Manchester City,Champions League,Barcelona,2-1,Vitória
Neymar,2014,3,8,Apenas Participação,0,0,Valladolid,La Liga (Espanha),Barcelona,1-0,Derrota
Neymar,2014,3,5,Gol,0,0,África do Sul,Amistosos da Seleção,Brasil,0-5,Vitória
Neymar,2014,3,5,Gol,0,0,África do Sul,Amistosos da Seleção,Brasil,0-5,Vitória
Neymar,2014,3,5,Gol,0,0,África do Sul,Amistosos da Seleção,Brasil,0-5,Vitória
Neymar,2014,3,2,Apenas Participação,0,0,Almería,La Liga (Espanha),Barcelona,4-1,Vitória
Neymar,2014,2,22,Apenas Participação,0,0,Real Sociedad,La Liga (Espanha),Barcelona,3-1,Derrota
Neymar,2014,2,18,Assistência,0,0,Manchester City,Champions League,Barcelona,0-2,Vitória
Neymar,2014,2,15,Gol,0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2014,1,16,Apenas Participação,0,0,Getafe,Copa do Rei (Espanha),Barcelona,0-2,Vitória
Neymar,2014,1,11,Apenas Participação,0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,0-0,Empate
Neymar,2014,1,5,Apenas Participação,0,0,Elche,La Liga (Espanha),Barcelona,4-0,Vitória
Neymar,2015,12,30,Assistência,0,0,Real Betis,La Liga (Espanha),Barcelona,4-0,Vitória
Neymar,2015,12,30,Assistência,0,0,Real Betis,La Liga (Espanha),Barcelona,4-0,Vitória
Neymar,2015,12,20,Assistência,1,0,River Plate,Mundial de Clubes,Barcelona,0-3,Vitória
Neymar,2015,12,20,Assistência,1,0,River Plate,Mundial de Clubes,Barcelona,0-3,Vitória
Neymar,2015,12,20,Cartão Amarelo,1,0,River Plate,Mundial de Clubes,Barcelona,0-3,Vitória
Neymar,2015,12,17,Apenas Participação,0,0,Guangzhou FC,Mundial de Clubes,Barcelona,3-0,Derrota
Neymar,2015,12,5,Apenas Participação,0,0,Valencia,La Liga (Espanha),Barcelona,1-1,Empate
Neymar,2015,12,2,Apenas Participação,0,0,CF Villanovense,Copa do Rei (Espanha),Barcelona,6-1,Vitória
Neymar,2015,11,28,Gol,0,0,Real Sociedad,La Liga (Espanha),Barcelona,4-0,Vitória
Neymar,2015,11,28,Gol,0,0,Real Sociedad,La Liga (Espanha),Barcelona,4-0,Vitória
Neymar,2015,11,28,Assistência,0,0,Real Sociedad,La Liga (Espanha),Barcelona,4-0,Vitória
Neymar,2015,11,24,Apenas Participação,0,0,Roma,Champions League,Barcelona,6-1,Vitória
Neymar,2015,11,21,Gol,0,0,Real Madrid,La Liga (Espanha),Barcelona,0-4,Vitória
Neymar,2015,11,21,Assistência,0,0,Real Madrid,La Liga (Espanha),Barcelona,0-4,Vitória
Neymar,2015,11,21,Assistência,0,0,Real Madrid,La Liga (Espanha),Barcelona,0-4,Vitória
Neymar,2015,11,17,Cartão Amarelo,1,0,Peru,Eliminatórias da Copa do Mundo,Brasil,3-0,Vitória
Neymar,2015,11,13,Apenas Participação,0,0,Argentina,Eliminatórias da Copa do Mundo,Brasil,1-1,Empate
Neymar,2015,11,8,Gol,1,0,Villarreal,La Liga (Espanha),Barcelona,3-0,Vitória
Neymar,2015,11,8,Gol,1,0,Villarreal,La Liga (Espanha),Barcelona,3-0,Vitória
Neymar,2015,11,8,Cartão Amarelo,1,0,Villarreal,La Liga (Espanha),Barcelona,3-0,Vitória
Neymar,2015,11,4,Gol,0,0,BATE Borisov,Champions League,Barcelona,3-0,Vitória
Neymar,2015,11,4,Gol,0,0,BATE Borisov,Champions League,Barcelona,3-0,Vitória
Neymar,2015,11,4,Assistência,0,0,BATE Borisov,Champions League,Barcelona,3-0,Vitória
Neymar,2015,10,31,Gol,0,0,Getafe,La Liga (Espanha),Barcelona,0-2,Vitória
Neymar,2015,10,25,Assistência,1,0,Eibar,La Liga (Espanha),Barcelona,3-1,Vitória
Neymar,2015,10,25,Assistência,1,0,Eibar,La Liga (Espanha),Barcelona,3-1,Vitória
Neymar,2015,10,25,Cartão Amarelo,1,0,Eibar,La Liga (Espanha),Barcelona,3-1,Vitória
Neymar,2015,10,20,Assistência,0,0,BATE Borisov,Champions League,Barcelona,0-2,Vitória
Neymar,2015,10,20,Assistência,0,0,BATE Borisov,Champions League,Barcelona,0-2,Vitória
Neymar,2015,10,17,Gol,0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,5-2,Vitória
Neymar,2015,10,17,Gol,0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,5-2,Vitória
Neymar,2015,10,17,Gol,0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,5-2,Vitória
Neymar,2015,10,17,Gol,0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,5-2,Vitória
Neymar,2015,10,17,Assistência,0,0,Rayo Vallecano,La Liga (Espanha),Barcelona,5-2,Vitória
Neymar,2015,10,3,Gol,0,0,Sevilla,La Liga (Espanha),Barcelona,2-1,Derrota
Neymar,2015,9,29,Cartão Amarelo,1,0,Bayer Leverkusen,Champions League,Barcelona,2-1,Vitória
Neymar,2015,9,26,Apenas Participação,0,0,Las Palmas,La Liga (Espanha),Barcelona,2-1,Vitória
Neymar,2015,9,23,Gol,1,0,Celta de Vigo,La Liga (Espanha),Barcelona,4-1,Derrota
Neymar,2015,9,23,Cartão Amarelo,1,0,Celta de Vigo,La Liga (Espanha),Barcelona,4-1,Derrota
Neymar,2015,9,20,Gol,0,0,Levante,La Liga (Espanha),Barcelona,4-1,Vitória
Neymar,2015,9,16,Apenas Participação,0,0,Roma,Champions League,Barcelona,1-1,Empate
Neymar,2015,9,12,Gol,0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,1-2,Vitória
Neymar,2015,9,8,Gol,0,0,Estados Unidos,Amistosos da Seleção,Brasil,1-4,Vitória
Neymar,2015,9,8,Gol,0,0,Estados Unidos,Amistosos da Seleção,Brasil,1-4,Vitória
Neymar,2015,9,5,Apenas Participação,0,0,Costa Rica,Amistosos da Seleção,Brasil,1-0,Vitória
Neymar,2015,8,29,Apenas Participação,0,0,Málaga,La Liga (Espanha),Barcelona,1-0,Vitória
Neymar,2015,6,17,Cartão Amarelo,1,1,Colômbia,Copa América,Brasil,0-1,Vitória
Neymar,2015,6,17,Cartão Vermelho,1,1,Colômbia,Copa América,Brasil,0-1,Vitória
Neymar,2015,6,14,Gol,1,0,Peru,Copa América,Brasil,2-1,Derrota
Neymar,2015,6,14,Assistência,1,0,Peru,Copa América,Brasil,2-1,Derrota
Neymar,2015,6,14,Cartão Amarelo,1,0,Peru,Copa América,Brasil,2-1,Derrota
Neymar,2015,6,10,Apenas Participação,0,0,Honduras,Amistosos da Seleção,Brasil,1-0,Vitória
Neymar,2015,6,6,Gol,0,0,Juventus,Champions League,Barcelona,1-3,Vitória
Neymar,2015,5,30,Gol,1,0,Athletic Bilbao,Copa do Rei (Espanha),Barcelona,1-3,Vitória
Neymar,2015,5,30,Cartão Amarelo,1,0,Athletic Bilbao,Copa do Rei (Espanha),Barcelona,1-3,Vitória
Neymar,2015,5,23,Assistência,0,0,Deportivo,La Liga (Espanha),Barcelona,2-2,Empate
Neymar,2015,5,17,Cartão Amarelo,1,0,Atlético de Madrid,La Liga (Espanha),Barcelona,0-1,Vitória
Neymar,2015,5,12,Gol,0,0,Bayern München,Champions League,Barcelona,3-2,Derrota
Neymar,2015,5,12,Gol,0,0,Bayern München,Champions League,Barcelona,3-2,Derrota
Neymar,2015,5,9,Gol,0,0,Real Sociedad,La Liga (Espanha),Barcelona,2-0,Vitória
Neymar,2015,5,6,Gol,1,0,Bayern München,Champions League,Barcelona,3-0,Vitória
Neymar,2015,5,6,Cartão Amarelo,1,0,Bayern München,Champions League,Barcelona,3-0,Vitória
Neymar,2015,5,2,Gol,0,0,Córdoba,La Liga (Espanha),Barcelona,0-8,Vitória
Neymar,2015,4,28,Gol,0,0,Getafe,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2015,4,28,Assistência,0,0,Getafe,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2015,4,25,Gol,0,0,Espanyol,La Liga (Espanha),Barcelona,0-2,Vitória
Neymar,2015,4,21,Gol,0,0,PSG,Champions League,Barcelona,2-0,Vitória
Neymar,2015,4,21,Gol,0,0,PSG,Champions League,Barcelona,2-0,Vitória
Neymar,2015,4,18,Apenas Participação,0,0,Valencia,La Liga (Espanha),Barcelona,2-0,Vitória
Neymar,2015,4,15,Gol,0,0,PSG,Champions League,Barcelona,1-3,Vitória
Neymar,2015,4,11,Gol,0,0,Sevilla,La Liga (Espanha),Barcelona,2-2,Empate
Neymar,2015,4,11,Assistência,0,0,Sevilla,La Liga (Espanha),Barcelona,2-2,Empate
Neymar,2015,4,8,Apenas Participação,0,0,Almería,La Liga (Espanha),Barcelona,4-0,Vitória
Neymar,2015,4,5,Apenas Participação,0,0,Celta de Vigo,La Liga (Espanha),Barcelona,0-1,Vitória
Neymar,2015,3,29,Cartão Amarelo,1,0,Chile,Amistosos da Seleção,Brasil,1-0,Derrota
Neymar,2015,3,26,Gol,0,0,França,Amistosos da Seleção,Brasil,1-3,Vitória
Neymar,2015,3,22,Apenas Participação,0,0,Real Madrid,La Liga (Espanha),Barcelona,2-1,Vitória
Neymar,2015,3,18,Apenas Participação,0,0,Manchester City,Champions League,Barcelona,1-0,Vitória
Neymar,2015,3,14,Apenas Participação,0,0,Eibar,La Liga (Espanha),Barcelona,0-2,Vitória
Neymar,2015,3,4,Gol,0,0,Villarreal,Copa do Rei (Espanha),Barcelona,1-3,Vitória
Neymar,2015,3,4,Gol,0,0,Villarreal,Copa do Rei (Espanha),Barcelona,1-3,Vitória
Neymar,2015,2,28,Cartão Amarelo,1,0,Granada,La Liga (Espanha),Barcelona,1-3,Vitória
Neymar,2015,2,24,Apenas Participação,0,0,Manchester City,Champions League,Barcelona,1-2,Vitória
Neymar,2015,2,21,Cartão Amarelo,1,0,Málaga,La Liga (Espanha),Barcelona,0-1,Derrota
Neymar,2015,2,15,Gol,0,0,Levante,La Liga (Espanha),Barcelona,5-0,Vitória
Neymar,2015,2,11,Apenas Participação,0,0,Villarreal,Copa do Rei (Espanha),Barcelona,3-1,Vitória
Neymar,2015,2,8,Gol,0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,2-5,Vitória
Neymar,2015,2,1,Gol,0,0,Villarreal,La Liga (Espanha),Barcelona,3-2,Vitória
Neymar,2015,1,28,Gol,0,0,Atlético de Madrid,Copa do Rei (Espanha),Barcelona,2-3,Vitória
Neymar,2015,1,28,Gol,0,0,Atlético de Madrid,Copa do Rei (Espanha),Barcelona,2-3,Vitória
Neymar,2015,1,24,Gol,0,0,Elche,La Liga (Espanha),Barcelona,0-6,Vitória
Neymar,2015,1,24,Gol,0,0,Elche,La Liga (Espanha),Barcelona,0-6,Vitória
Neymar,2015,1,24,Assistência,0,0,Elche,La Liga (Espanha),Barcelona,0-6,Vitória
Neymar,2015,1,21,Apenas Participação,0,0,Atlético de Madrid,Copa do Rei (Espanha),Barcelona,1-0,Vitória
Neymar,2015,1,18,Apenas Participação,0,0,Deportivo,La Liga (Espanha),Barcelona,0-4,Vitória
Neymar,2015,1,11,Gol,0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,3-1,Vitória
Neymar,2015,1,8,Gol,0,0,Elche,Copa do Rei (Espanha),Barcelona,5-0,Vitória
Neymar,2015,1,8,Gol,0,0,Elche,Copa do Rei (Espanha),Barcelona,5-0,Vitória
Neymar,2015,1,4,Cartão Amarelo,1,0,Real Sociedad,La Liga (Espanha),Barcelona,1-0,Derrota
Neymar,2016,12,18,Apenas Participação,0,0,Espanyol,La Liga (Espanha),Barcelona,4-1,Vitória
Neymar,2016,12,3,Assistência,1,0,Real Madrid,La Liga (Espanha),Barcelona,1-1,Empate
Neymar,2016,12,3,Cartão Amarelo,1,0,Real Madrid,La Liga (Espanha),Barcelona,1-1,Empate
Neymar,2016,11,27,Assistência,0,0,Real Sociedad,La Liga (Espanha),Barcelona,1-1,Empate
Neymar,2016,11,23,Assistência,1,0,Celtic,Champions League,Barcelona,0-2,Vitória
Neymar,2016,11,23,Cartão Amarelo,1,0,Celtic,Champions League,Barcelona,0-2,Vitória
Neymar,2016,11,19,Apenas Participação,0,0,Málaga,La Liga (Espanha),Barcelona,0-0,Empate
Neymar,2016,11,16,Apenas Participação,0,0,Peru,Eliminatórias da Copa do Mundo,Brasil,0-2,Vitória
Neymar,2016,11,10,Gol,0,0,Argentina,Eliminatórias da Copa do Mundo,Brasil,3-0,Vitória
Neymar,2016,11,10,Assistência,0,0,Argentina,Eliminatórias da Copa do Mundo,Brasil,3-0,Vitória
Neymar,2016,11,6,Assistência,1,0,Sevilla,La Liga (Espanha),Barcelona,1-2,Vitória
Neymar,2016,11,6,Cartão Amarelo,1,0,Sevilla,La Liga (Espanha),Barcelona,1-2,Vitória
Neymar,2016,11,1,Assistência,1,0,Manchester City,Champions League,Barcelona,3-1,Derrota
Neymar,2016,11,1,Cartão Amarelo,1,0,Manchester City,Champions League,Barcelona,3-1,Derrota
Neymar,2016,10,29,Cartão Amarelo,1,0,Granada,La Liga (Espanha),Barcelona,1-0,Vitória
Neymar,2016,10,22,Cartão Amarelo,1,0,Valencia,La Liga (Espanha),Barcelona,2-3,Vitória
Neymar,2016,10,19,Gol,0,0,Manchester City,Champions League,Barcelona,4-0,Vitória
Neymar,2016,10,15,Assistência,0,0,Deportivo,La Liga (Espanha),Barcelona,4-0,Vitória
Neymar,2016,10,15,Assistência,0,0,Deportivo,La Liga (Espanha),Barcelona,4-0,Vitória
Neymar,2016,10,6,Gol,1,0,Bolívia,Eliminatórias da Copa do Mundo,Brasil,5-0,Vitória
Neymar,2016,10,6,Assistência,1,0,Bolívia,Eliminatórias da Copa do Mundo,Brasil,5-0,Vitória
Neymar,2016,10,6,Assistência,1,0,Bolívia,Eliminatórias da Copa do Mundo,Brasil,5-0,Vitória
Neymar,2016,10,6,Cartão Amarelo,1,0,Bolívia,Eliminatórias da Copa do Mundo,Brasil,5-0,Vitória
Neymar,2016,10,2,Gol,0,0,Celta de Vigo,La Liga (Espanha),Barcelona,4-3,Derrota
Neymar,2016,9,28,Assistência,1,0,Borussia M´gladbach,Champions League,Barcelona,1-2,Vitória
Neymar,2016,9,28,Cartão Amarelo,1,0,Borussia M´gladbach,Champions League,Barcelona,1-2,Vitória
Neymar,2016,9,24,Gol,0,0,Sporting Gijón,La Liga (Espanha),Barcelona,0-5,Vitória
Neymar,2016,9,24,Gol,0,0,Sporting Gijón,La Liga (Espanha),Barcelona,0-5,Vitória
Neymar,2016,9,21,Apenas Participação,0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,1-1,Empate
Neymar,2016,9,17,Gol,1,0,Leganés,La Liga (Espanha),Barcelona,1-5,Vitória
Neymar,2016,9,17,Cartão Amarelo,1,0,Leganés,La Liga (Espanha),Barcelona,1-5,Vitória
Neymar,2016,9,13,Gol,0,0,Celtic,Champions League,Barcelona,7-0,Vitória
Neymar,2016,9,13,Assistência,0,0,Celtic,Champions League,Barcelona,7-0,Vitória
Neymar,2016,9,13,Assistência,0,0,Celtic,Champions League,Barcelona,7-0,Vitória
Neymar,2016,9,13,Assistência,0,0,Celtic,Champions League,Barcelona,7-0,Vitória
Neymar,2016,9,13,Assistência,0,0,Celtic,Champions League,Barcelona,7-0,Vitória
Neymar,2016,9,10,Assistência,0,0,Alavés,La Liga (Espanha),Barcelona,1-2,Derrota
Neymar,2016,9,6,Gol,1,0,Colômbia,Eliminatórias da Copa do Mundo,Brasil,2-1,Vitória
Neymar,2016,9,6,Assistência,1,0,Colômbia,Eliminatórias da Copa do Mundo,Brasil,2-1,Vitória
Neymar,2016,9,6,Cartão Amarelo,1,0,Colômbia,Eliminatórias da Copa do Mundo,Brasil,2-1,Vitória
Neymar,2016,9,1,Gol,0,0,Equador,Eliminatórias da Copa do Mundo,Brasil,0-3,Vitória
Neymar,2016,9,1,Assistência,0,0,Equador,Eliminatórias da Copa do Mundo,Brasil,0-3,Vitória
Neymar,2016,8,20,Gol,0,0,Alemanha,Jogos Olímpicos,Brasil,1-1(5-4)g.p.,
Neymar,2016,8,17,Gol,0,0,Honduras,Jogos Olímpicos,Brasil,6-0,Derrota
Neymar,2016,8,17,Gol,0,0,Honduras,Jogos Olímpicos,Brasil,6-0,Derrota
Neymar,2016,8,17,Assistência,0,0,Honduras,Jogos Olímpicos,Brasil,6-0,Derrota
Neymar,2016,8,17,Assistência,0,0,Honduras,Jogos Olímpicos,Brasil,6-0,Derrota
Neymar,2016,8,13,Gol,1,0,Colômbia,Jogos Olímpicos,Brasil,2-0,Vitória
Neymar,2016,8,13,Assistência,1,0,Colômbia,Jogos Olímpicos,Brasil,2-0,Vitória
Neymar,2016,8,13,Cartão Amarelo,1,0,Colômbia,Jogos Olímpicos,Brasil,2-0,Vitória
Neymar,2016,8,10,Apenas Participação,0,0,Dinamarca,Jogos Olímpicos,Brasil,0-4,Vitória
Neymar,2016,8,7,Apenas Participação,0,0,Iraque,Jogos Olímpicos,Brasil,0-0,Empate
Neymar,2016,8,4,Apenas Participação,0,0,África do Sul,Jogos Olímpicos,Brasil,0-0,Empate
Neymar,2016,5,22,Gol,1,0,Sevilla,Copa do Rei (Espanha),Barcelona,2-0(a.p.),
Neymar,2016,5,22,Cartão Amarelo,1,0,Sevilla,Copa do Rei (Espanha),Barcelona,2-0(a.p.),
Neymar,2016,5,14,Assistência,0,0,Granada,La Liga (Espanha),Barcelona,0-3,Vitória
Neymar,2016,5,8,Gol,0,0,Espanyol,La Liga (Espanha),Barcelona,5-0,Vitória
Neymar,2016,5,8,Assistência,0,0,Espanyol,La Liga (Espanha),Barcelona,5-0,Vitória
Neymar,2016,4,30,Apenas Participação,0,0,Real Betis,La Liga (Espanha),Barcelona,0-2,Vitória
Neymar,2016,4,23,Gol,0,0,Sporting Gijón,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2016,4,20,Gol,0,0,Deportivo,La Liga (Espanha),Barcelona,0-8,Vitória
Neymar,2016,4,17,Cartão Amarelo,1,0,Valencia,La Liga (Espanha),Barcelona,1-2,Derrota
Neymar,2016,4,13,Cartão Amarelo,1,0,Atlético de Madrid,Champions League,Barcelona,2-0,Derrota
Neymar,2016,4,9,Apenas Participação,0,0,Real Sociedad,La Liga (Espanha),Barcelona,1-0,Derrota
