AIS;DATA;HORA;MUNICÍPIO;VÍTIMA GÊNERO;VÍTIMA IDADE
AIS 19;2023-03-02;18:00:00;Barbalha;Masculino;10
AIS 04;2023-02-21;22:10:00;Fortaleza;Feminino;15
AIS 07;2023-02-12;05:00:00;Fortaleza;Feminino;14
AIS 21;2023-02-12;19:55:00;Iguatu;Feminino;16
AIS 04;2023-02-10;17:30:00;Fortaleza;Feminino;17
AIS 04;2023-02-10;17:30:00;Fortaleza;Feminino;15
AIS 04;2023-02-10;17:30:00;Fortaleza;Feminino;13
AIS 04;2023-02-10;17:30:00;Fortaleza;Feminino;16
AIS 04;2023-02-10;17:30:00;Fortaleza;Feminino;16
AIS 19;2023-02-10;16:30:00;Crato;Feminino;15
AIS 16;2023-02-08;10:00:00;Crateús;Feminino;15
AIS 06;2023-02-06;09:10:00;Fortaleza;Feminino;17
AIS 16;2023-02-06;03:30:00;Varjota;Feminino;16
AIS 16;2023-02-06;03:30:00;Varjota;Masculino;17
AIS 03;2023-02-01;12:00:00;Fortaleza;Feminino;14
AIS 14;2023-01-23;10:00:00;Ibiapina;Feminino;16
AIS 05;2023-01-22;00:30:00;Fortaleza;Feminino;15
AIS 17;2023-01-21;22:00:00;Itapipoca;Feminino;11
AIS 17;2023-01-20;00:00:00;Morrinhos;Feminino;15
AIS 19;2023-01-19;14:00:00;Crato;Feminino;14
AIS 10;2023-01-17;18:40:00;Fortaleza;Feminino;12
AIS 10;2023-01-17;18:40:00;Fortaleza;Feminino;11
AIS 05;2023-01-08;03:30:00;Fortaleza;Feminino;15
AIS 14;2023-01-04;14:30:00;Sobral;Feminino;17
AIS 19;2022-12-29;16:00:00;Assaré;Feminino;16
AIS 15;2022-12-28;10:00:00;Boa Viagem;Feminino;15
AIS 05;2022-12-18;23:30:00;Fortaleza;Feminino;15
AIS 21;2022-12-16;15:30:00;Ipaumirim;Feminino;12
AIS 18;2022-12-15;15:00:00;Alto Santo;Feminino;17
AIS 24;2022-12-12;11:00:00;Maranguape;Feminino;11
AIS 22;2022-12-12;10:00:00;Tauá;Feminino;12
AIS 19;2022-12-11;13:00:00;Juazeiro do Norte;Feminino;14
AIS 19;2022-12-11;13:00:00;Juazeiro do Norte;Feminino;13
AIS 19;2022-12-11;13:00:00;Juazeiro do Norte;Feminino;11
AIS 19;2022-12-11;13:00:00;Juazeiro do Norte;Feminino;15
AIS 21;2022-12-06;11:40:00;Iguatu;Feminino;16
AIS 12;2022-12-01;05:10:00;Maracanaú;Feminino;17
AIS 20;2022-12-01;17:30:00;Quixadá;Feminino;11
AIS 14;2022-12-01;06:58:00;Tianguá;Feminino;15
AIS 18;2022-11-28;10:00:00;Jaguaruana;Feminino;13
AIS 09;2022-11-20;22:00:00;Fortaleza;Feminino;17
AIS 17;2022-11-20;16:30:00;Itarema;Feminino;14
AIS 19;2022-11-20;18:00:00;Porteiras;Feminino;16
AIS 14;2022-11-20;08:00:00;Tianguá;Feminino;16
AIS 14;2022-11-16;09:00:00;Forquilha;Feminino;13
AIS 14;2022-11-16;09:00:00;Forquilha;Feminino;15
AIS 14;2022-11-16;09:00:00;Forquilha;Feminino;13
AIS 14;2022-11-16;09:00:00;Forquilha;Feminino;14
AIS 14;2022-11-13;21:20:00;Tianguá;Feminino;13
AIS 12;2022-11-11;16:05:00;Maracanaú;Feminino;15
AIS 12;2022-11-11;16:05:00;Maracanaú;Feminino;17
AIS 02;2022-11-09;08:00:00;Fortaleza;Feminino;16
AIS 02;2022-11-07;12:00:00;Fortaleza;Feminino;14
AIS 17;2022-11-04;10:00:00;Cruz;Feminino;16
AIS 19;2022-11-02;23:07:00;Farias Brito;Masculino;0
AIS 21;2022-11-02;07:30:00;Várzea Alegre;Feminino;17
AIS 06;2022-10-31;10:00:00;Fortaleza;Feminino;14
AIS 06;2022-10-31;09:40:00;Fortaleza;Feminino;12
AIS 07;2022-10-27;11:30:00;Fortaleza;Masculino;14
AIS 13;2022-10-17;08:00:00;Cascavel;Feminino;13
AIS 13;2022-10-17;08:00:00;Cascavel;Feminino;12
AIS 13;2022-10-17;08:00:00;Cascavel;Feminino;13
AIS 13;2022-10-17;08:00:00;Cascavel;Feminino;14
AIS 13;2022-10-17;08:00:00;Cascavel;Feminino;14
AIS 13;2022-10-17;08:00:00;Cascavel;Feminino;11
AIS 13;2022-10-17;08:00:00;Cascavel;Feminino;11
AIS 13;2022-10-17;08:00:00;Cascavel;Feminino;14
AIS 14;2022-10-17;01:00:00;Guaraciaba do Norte;Feminino;14
AIS 07;2022-10-16;18:00:00;Fortaleza;Feminino;14
AIS 12;2022-10-11;00:02:00;Maracanaú;Feminino;13
AIS 06;2022-10-09;19:43:00;Fortaleza;Feminino;11
AIS 21;2022-10-08;10:00:00;Iguatu;Feminino;12
AIS 02;2022-10-04;10:04:00;Fortaleza;Feminino;16
AIS 05;2022-09-30;18:20:00;Fortaleza;Feminino;17
AIS 21;2022-09-30;16:00:00;Iguatu;Feminino;17
AIS 19;2022-09-29;10:30:00;Juazeiro do Norte;Feminino;16
AIS 13;2022-09-23;12:03:00;Cascavel;Feminino;12
AIS 13;2022-09-23;12:03:00;Cascavel;Feminino;14
AIS 13;2022-09-23;12:03:00;Cascavel;Feminino;13
AIS 13;2022-09-23;12:03:00;Cascavel;Feminino;14
AIS 13;2022-09-23;12:03:00;Cascavel;Feminino;14
AIS 13;2022-09-23;12:03:00;Cascavel;Feminino;12
AIS 13;2022-09-23;12:03:00;Cascavel;Feminino;11
AIS 13;2022-09-23;12:03:00;Cascavel;Feminino;12
AIS 13;2022-09-23;12:03:00;Cascavel;Feminino;13
AIS 13;2022-09-23;12:03:00;Cascavel;Feminino;12
AIS 18;2022-09-21;10:00:00;Alto Santo;Feminino;15
AIS 18;2022-09-21;10:00:00;Alto Santo;Feminino;13
AIS 18;2022-09-21;10:00:00;Alto Santo;Feminino;15
AIS 19;2022-09-21;09:00:00;Aurora;Feminino;12
AIS 19;2022-09-20;15:30:00;Araripe;Feminino;14
AIS 19;2022-09-20;23:50:00;Porteiras;Feminino;14
AIS 18;2022-09-20;19:00:00;Russas;Feminino;15
AIS 21;2022-09-16;14:30:00;Várzea Alegre;Feminino;15
AIS 11;2022-09-15;15:00:00;Caucaia;Feminino;11
AIS 02;2022-09-12;10:00:00;Fortaleza;Feminino;12
AIS 17;2022-09-12;10:30:00;General Sampaio;Feminino;14
AIS 21;2022-09-12;10:00:00;Várzea Alegre;Feminino;13
AIS 09;2022-09-09;13:00:00;Fortaleza;Feminino;17
AIS 19;2022-09-05;14:00:00;Aurora;Feminino;17
AIS 09;2022-09-02;07:00:00;Fortaleza;Feminino;14
AIS 21;2022-08-30;16:40:00;Iguatu;Feminino;13
AIS 21;2022-08-30;16:40:00;Iguatu;Feminino;12
AIS 21;2022-08-30;16:40:00;Iguatu;Feminino;13
AIS 05;2022-08-29;12:30:00;Fortaleza;Feminino;5
AIS 22;2022-08-27;09:30:00;Mombaça;Feminino;13
AIS 24;2022-08-18;11:30:00;Guaiúba;Feminino;14
AIS 16;2022-08-16;06:20:00;Ipu;Feminino;17
AIS 15;2022-08-14;21:00:00;Canindé;Feminino;15
AIS 17;2022-08-11;14:00:00;Pentecoste;Feminino;16
AIS 19;2022-08-10;10:00:00;Crato;Feminino;17
AIS 19;2022-08-04;08:00:00;Antonina do Norte;Feminino;14
AIS 14;2022-08-03;13:00:00;Guaraciaba do Norte;Feminino;17
AIS 18;2022-07-30;14:40:00;Jaguaruana;Feminino;12
AIS 16;2022-07-26;10:00:00;Crateús;Feminino;17
AIS 22;2022-07-26;10:00:00;Mombaça;Feminino;17
AIS 11;2022-07-19;11:10:00;Caucaia;Feminino;15
AIS 11;2022-07-19;11:10:00;Caucaia;Feminino;6
AIS 17;2022-07-17;10:40:00;Itapajé;Feminino;17
AIS 19;2022-07-16;07:30:00;Crato;Feminino;14
AIS 19;2022-07-16;07:40:00;Juazeiro do Norte;Feminino;16
AIS 14;2022-07-14;18:30:00;Carnaubal;Feminino;16
AIS Não Identificada (Fortaleza);2022-07-11;21:00:00;Fortaleza;Feminino;17
AIS 05;2022-07-11;11:30:00;Fortaleza;Feminino;12
AIS 17;2022-07-10;10:00:00;Bela Cruz;Feminino;15
AIS 20;2022-07-10;10:00:00;Quixeramobim;Feminino;13
AIS 16;2022-07-05;23:40:00;Nova Russas;Feminino;17
AIS 16;2022-07-03;15:00:00;Ipu;Feminino;13
AIS 11;2022-07-02;19:40:00;Caucaia;Feminino;14
AIS 13;2022-07-02;08:00:00;Cascavel;Feminino;13
AIS 14;2022-07-01;12:30:00;Groaíras;Feminino;15
AIS 14;2022-06-30;09:00:00;São Benedito;Masculino;14
AIS 20;2022-06-29;11:30:00;Quixeramobim;Masculino;14
AIS 13;2022-06-24;17:10:00;Eusébio;Feminino;17
AIS 19;2022-06-16;17:00:00;Crato;Feminino;15
AIS 17;2022-06-05;20:30:00;Itapajé;Feminino;15
AIS 22;2022-06-02;12:00:00;Tauá;Feminino;17
AIS 11;2022-06-01;18:47:00;Caucaia;Masculino;14
AIS 11;2022-06-01;18:47:00;Caucaia;Feminino;14
AIS 11;2022-06-01;18:47:00;Caucaia;Masculino;14
AIS 11;2022-06-01;18:47:00;Caucaia;Feminino;14
AIS 11;2022-06-01;18:47:00;Caucaia;Feminino;14
AIS 18;2022-05-31;08:00:00;Russas;Feminino;15
AIS 22;2022-05-30;11:40:00;Parambu;Feminino;13
AIS 17;2022-05-30;10:00:00;Pentecoste;Feminino;8
AIS 19;2022-05-29;21:36:00;Juazeiro do Norte;Feminino;8
AIS 19;2022-05-29;21:36:00;Juazeiro do Norte;Feminino;17
AIS 14;2022-05-26;11:30:00;Tianguá;Feminino;13
AIS 14;2022-05-26;11:30:00;Tianguá;Feminino;11
AIS 14;2022-05-26;11:30:00;Tianguá;Feminino;11
AIS 14;2022-05-26;11:30:00;Tianguá;Feminino;11
AIS 07;2022-05-24;12:00:00;Fortaleza;Masculino;15
AIS 05;2022-05-23;08:57:00;Fortaleza;Feminino;16
AIS 24;2022-05-21;11:00:00;Pacatuba;Feminino;13
AIS 16;2022-05-21;22:00:00;Hidrolândia;Feminino;12
AIS 06;2022-05-20;08:00:00;Fortaleza;Feminino;15
AIS 19;2022-05-20;11:30:00;Crato;Feminino;17
AIS 18;2022-05-17;08:00:00;Russas;Feminino;13
AIS 02;2022-05-16;06:30:00;Fortaleza;Feminino;14
AIS 01;2022-05-15;01:25:00;Fortaleza;Feminino;16
AIS 14;2022-05-11;17:30:00;Camocim;Feminino;12
AIS 08;2022-05-09;18:40:00;Fortaleza;Feminino;16
AIS 01;2022-04-29;11:00:00;Fortaleza;Feminino;15
AIS 06;2022-04-27;18:20:00;Fortaleza;Feminino;16
AIS 14;2022-04-27;14:00:00;Sobral;Feminino;10
AIS 14;2022-04-27;16:30:00;Sobral;Feminino;15
AIS 14;2022-04-24;20:00:00;Massapê;Feminino;16
AIS 05;2022-04-22;21:31:00;Fortaleza;Feminino;17
AIS 15;2022-04-21;15:00:00;Ocara;Feminino;10
AIS 20;2022-04-15;15:00:00;Quixadá;Feminino;11
AIS 20;2022-04-15;15:00:00;Quixadá;Feminino;14
AIS 20;2022-04-14;10:20:00;Morada Nova;Feminino;15
AIS 11;2022-04-12;17:00:00;Caucaia;Feminino;12
AIS 17;2022-04-12;11:30:00;Uruburetama;Feminino;16
AIS 11;2022-04-08;15:00:00;Caucaia;Feminino;14
AIS 21;2022-04-08;23:30:00;Umari;Feminino;16
AIS 14;2022-04-03;20:00:00;Sobral;Feminino;16
AIS 13;2022-04-01;12:00:00;Aquiraz;Feminino;17
AIS 06;2022-04-01;07:48:00;Fortaleza;Feminino;17
AIS 15;2022-03-30;10:40:00;Acarape;Feminino;14
AIS 25;2022-03-24;10:00:00;Horizonte;Feminino;6
AIS 10;2022-03-23;15:00:00;Fortaleza;Feminino;11
AIS 14;2022-03-20;10:00:00;Mucambo;Feminino;13
AIS 14;2022-03-20;10:00:00;Mucambo;Feminino;12
AIS 06;2022-03-17;16:00:00;Fortaleza;Masculino;15
AIS 06;2022-03-17;16:00:00;Fortaleza;Feminino;17
AIS 19;2022-03-17;12:30:00;Crato;Feminino;17
AIS 17;2022-03-16;20:00:00;Acaraú;Feminino;12
AIS 20;2022-03-16;19:00:00;Quixeramobim;Feminino;11
AIS 14;2022-03-15;09:00:00;Camocim;Feminino;15
AIS 14;2022-03-15;18:00:00;Guaraciaba do Norte;Feminino;15
AIS 10;2022-03-11;20:40:00;Fortaleza;Feminino;11
AIS 04;2022-03-10;12:00:00;Fortaleza;Feminino;17
AIS 14;2022-03-10;11:30:00;Camocim;Feminino;13
AIS 14;2022-03-07;08:00:00;Tianguá;Feminino;17
AIS 14;2022-02-28;13:23:00;Tianguá;Feminino;15
AIS 17;2022-02-25;15:00:00;Bela Cruz;Feminino;15
AIS 19;2022-02-23;01:00:00;Mauriti;Feminino;15
AIS 19;2022-02-22;10:30:00;Caririaçu;Feminino;16
AIS 18;2022-02-22;16:20:00;Tabuleiro do Norte;Feminino;16
AIS 18;2022-02-22;16:20:00;Tabuleiro do Norte;Feminino;17
AIS 18;2022-02-22;16:20:00;Tabuleiro do Norte;Feminino;16
AIS 18;2022-02-22;16:20:00;Tabuleiro do Norte;Masculino;16
AIS 18;2022-02-22;16:20:00;Tabuleiro do Norte;Feminino;16
AIS 18;2022-02-22;16:20:00;Tabuleiro do Norte;Masculino;17
AIS 05;2022-02-21;11:38:00;Fortaleza;Masculino;14
AIS 19;2022-02-18;09:30:00;Mauriti;Masculino;14
AIS 11;2022-02-17;13:20:00;Caucaia;Feminino;17
AIS 20;2022-02-15;13:00:00;Pedra Branca;Feminino;14
AIS 24;2022-02-14;11:00:00;Pacatuba;Feminino;14
AIS 19;2022-02-08;09:30:00;Santana do Cariri;Feminino;14
AIS 19;2022-02-06;10:00:00;Crato;Feminino;13
AIS 19;2022-01-24;19:00:00;Antonina do Norte;Feminino;16
AIS 19;2022-01-20;14:30:00;Porteiras;Feminino;15
AIS 21;2022-01-19;23:30:00;Ipaumirim;Feminino;14
AIS 21;2022-01-16;09:00:00;Icó;Feminino;13
AIS 05;2022-01-07;17:37:00;Fortaleza;Feminino;16
AIS 05;2022-01-07;17:37:00;Fortaleza;Feminino;10
AIS 21;2022-01-01;16:30:00;Iguatu;Feminino;16
AIS 24;2021-12-27;09:00:00;Pacatuba;Feminino;10
AIS 24;2021-12-27;09:00:00;Pacatuba;Feminino;10
AIS 02;2021-12-23;13:00:00;Fortaleza;Feminino;6
AIS 02;2021-12-23;13:00:00;Fortaleza;Masculino;4
AIS 06;2021-12-20;19:30:00;Fortaleza;Masculino;4
AIS 19;2021-12-20;16:50:00;Juazeiro do Norte;Feminino;13
AIS 17;2021-12-19;04:00:00;Apuiarés;Feminino;5
AIS 04;2021-12-17;08:30:00;Fortaleza;Feminino;14
AIS 17;2021-12-16;14:40:00;Itapipoca;Feminino;16
AIS 05;2021-12-14;08:00:00;Fortaleza;Feminino;13
AIS 13;2021-12-12;21:00:00;Aquiraz;Feminino;13
AIS Não Identificada (Fortaleza);2021-12-12;10:00:00;Fortaleza;Feminino;12
AIS Não Identificada (Fortaleza);2021-12-12;20:00:00;Fortaleza;Masculino;10
AIS 18;2021-12-11;18:00:00;Iracema;Feminino;14
AIS 13;2021-12-10;14:00:00;Cascavel;Feminino;15
AIS 13;2021-12-10;14:00:00;Cascavel;Feminino;16
AIS 13;2021-12-10;14:00:00;Cascavel;Feminino;17
AIS 14;2021-12-08;14:00:00;Viçosa do Ceará;Feminino;15
AIS 14;2021-12-05;19:00:00;Camocim;Masculino;14
AIS 01;2021-11-28;18:10:00;Fortaleza;Masculino;16
AIS 01;2021-11-28;18:10:00;Fortaleza;Feminino;15
AIS 17;2021-11-18;16:30:00;Uruburetama;Feminino;17
AIS 17;2021-11-16;11:00:00;Itapipoca;Feminino;14
AIS Não Identificada (Fortaleza);2021-11-13;16:00:00;Fortaleza;Feminino;16
AIS Não Identificada (Fortaleza);2021-11-13;16:00:00;Fortaleza;Feminino;16
AIS 20;2021-11-11;12:00:00;Pedra Branca;Feminino;9
AIS 14;2021-11-05;16:00:00;Sobral;Feminino;17
AIS 09;2021-10-25;08:00:00;Fortaleza;Feminino;14
AIS 06;2021-10-24;19:12:00;Fortaleza;Masculino;17
AIS 21;2021-10-18;15:00:00;Iguatu;Feminino;16
AIS 19;2021-10-16;19:41:00;Crato;Feminino;14
AIS 02;2021-10-12;15:30:00;Fortaleza;Feminino;17
AIS 25;2021-10-10;08:00:00;Horizonte;Feminino;17
AIS 22;2021-10-09;03:00:00;Aiuaba;Feminino;15
AIS 19;2021-10-08;23:40:00;Crato;Masculino;0
AIS 24;2021-10-04;15:00:00;Maranguape;Feminino;16
AIS 19;2021-10-04;15:00:00;Juazeiro do Norte;Feminino;16
AIS 19;2021-10-02;10:00:00;Assaré;Feminino;12
AIS 06;2021-10-01;00:40:00;Fortaleza;Feminino;11
AIS 01;2021-09-30;17:15:00;Fortaleza;Feminino;17
AIS 21;2021-09-28;21:30:00;Iguatu;Feminino;11
AIS 13;2021-09-27;19:00:00;Cascavel;Feminino;15
AIS 03;2021-09-25;08:00:00;Fortaleza;Feminino;17
AIS 14;2021-09-17;21:00:00;Meruoca;Masculino;15
AIS 16;2021-09-13;04:00:00;Ararendá;Feminino;15
AIS 06;2021-09-03;16:30:00;Fortaleza;Feminino;15
AIS 18;2021-08-31;08:00:00;Russas;Feminino;14
AIS 07;2021-08-30;14:00:00;Fortaleza;Masculino;14
AIS 04;2021-08-28;15:30:00;Fortaleza;Feminino;17
AIS 16;2021-08-28;14:00:00;Crateús;Masculino;15
AIS 20;2021-08-28;21:00:00;Jaguaretama;Feminino;14
AIS 03;2021-08-25;09:30:00;Fortaleza;Feminino;14
AIS 14;2021-08-25;15:00:00;Sobral;Feminino;14
AIS 14;2021-08-24;10:00:00;Camocim;Feminino;15
AIS 25;2021-08-23;18:00:00;Pacajus;Feminino;16
AIS 22;2021-08-23;22:40:00;Mombaça;Feminino;15
AIS 18;2021-08-21;20:00:00;Jaguaribe;Feminino;12
AIS 12;2021-08-20;14:50:00;Maracanaú;Feminino;14
AIS 17;2021-08-20;13:00:00;Cruz;Feminino;17
AIS 19;2021-08-15;00:00:00;Mauriti;Feminino;17
AIS 14;2021-08-13;11:00:00;Camocim;Feminino;17
AIS 13;2021-08-06;22:00:00;Eusébio;Feminino;17
AIS 14;2021-08-06;15:55:00;Camocim;Feminino;17
AIS 19;2021-08-06;12:00:00;Milagres;Feminino;15
AIS 19;2021-08-05;11:30:00;Crato;Masculino;10
AIS 19;2021-07-31;18:40:00;Juazeiro do Norte;Feminino;10
AIS 17;2021-07-29;23:30:00;Bela Cruz;Feminino;15
AIS 04;2021-07-18;12:00:00;Fortaleza;Feminino;5
AIS 20;2021-07-18;15:00:00;Solonópole;Feminino;15
AIS 21;2021-06-30;15:30:00;Várzea Alegre;Masculino;17
AIS 01;2021-06-20;20:30:00;Fortaleza;Feminino;8
AIS 07;2021-06-16;19:30:00;Fortaleza;Feminino;8
AIS 14;2021-06-13;09:30:00;Ubajara;Feminino;16
AIS 06;2021-06-07;11:00:00;Fortaleza;Feminino;14
AIS 02;2021-05-20;17:30:00;Fortaleza;Feminino;17
AIS 19;2021-05-19;09:00:00;Araripe;Feminino;13
AIS 14;2021-05-12;10:00:00;Granja;Feminino;16
AIS 21;2021-05-12;14:00:00;Icó;Feminino;17
AIS 03;2021-05-10;10:30:00;Fortaleza;Feminino;14
AIS 14;2021-05-09;03:30:00;Massapê;Feminino;14
AIS 20;2021-05-07;22:00:00;Jaguaretama;Feminino;15
AIS 01;2021-05-06;18:00:00;Fortaleza;Feminino;17
AIS 17;2021-05-05;17:00:00;General Sampaio;Feminino;14
AIS 16;2021-04-25;08:00:00;Ipu;Feminino;14
AIS 16;2021-04-25;08:00:00;Ipu;Feminino;10
AIS 21;2021-04-24;21:30:00;Iguatu;Feminino;14
AIS 13;2021-04-19;17:30:00;Cascavel;Feminino;15
AIS 18;2021-04-18;08:00:00;Quixeré;Feminino;14
AIS 14;2021-04-16;14:00:00;Sobral;Feminino;6
AIS 15;2021-04-13;11:30:00;Aracoiaba;Feminino;17
AIS 02;2021-04-12;23:00:00;Fortaleza;Feminino;15
AIS 24;2021-04-12;21:30:00;Maranguape;Feminino;12
AIS 24;2021-04-12;21:30:00;Maranguape;Masculino;15
AIS 20;2021-04-12;14:00:00;Pedra Branca;Feminino;11
AIS 19;2021-04-08;10:00:00;Juazeiro do Norte;Feminino;9
AIS 12;2021-04-06;10:00:00;Maracanaú;Feminino;16
AIS 11;2021-04-04;14:00:00;Caucaia;Feminino;14
AIS 01;2021-04-02;18:00:00;Fortaleza;Masculino;14
AIS 21;2021-04-02;20:30:00;Iguatu;Feminino;15
AIS 17;2021-04-02;14:30:00;Itapipoca;Feminino;15
AIS 18;2021-04-01;21:14:00;Fortim;Feminino;13
AIS 15;2021-03-27;09:00:00;Baturité;Feminino;15
AIS 21;2021-03-16;09:00:00;Umari;Feminino;15
AIS 18;2021-03-12;08:00:00;Jaguaribara;Feminino;11
AIS 21;2021-03-11;14:30:00;Várzea Alegre;Masculino;15
AIS 21;2021-03-06;06:00:00;Orós;Feminino;14
AIS 11;2021-03-04;17:00:00;Caucaia;Feminino;14
AIS 14;2021-03-02;15:00:00;Sobral;Feminino;11
AIS 14;2021-03-02;15:00:00;Sobral;Feminino;8
AIS 04;2021-02-28;18:30:00;Fortaleza;Masculino;17
AIS 14;2021-02-28;10:00:00;Viçosa do Ceará;Feminino;14
AIS 16;2021-02-26;08:50:00;Crateús;Feminino;14
AIS 16;2021-02-24;14:00:00;Independência;Feminino;14
AIS 11;2021-02-05;23:00:00;Caucaia;Feminino;15
AIS 19;2021-02-02;21:30:00;Juazeiro do Norte;Feminino;13
AIS 19;2021-02-01;17:00:00;Juazeiro do Norte;Feminino;14
AIS 20;2021-02-01;13:00:00;Pedra Branca;Feminino;15
AIS 14;2021-01-31;16:00:00;São Benedito;Feminino;13
AIS 14;2021-01-29;11:30:00;Camocim;Feminino;17
AIS 19;2021-01-26;10:30:00;Campos Sales;Feminino;16
AIS 15;2021-01-24;12:30:00;Pacoti;Feminino;16
AIS 14;2021-01-22;21:00:00;Meruoca;Feminino;14
AIS 14;2021-01-17;18:00:00;Sobral;Feminino;9
AIS 16;2021-01-13;14:00:00;Independência;Feminino;15
AIS 21;2021-01-10;18:30:00;Saboeiro;Masculino;17
AIS 08;2021-01-09;19:00:00;Fortaleza;Feminino;13
AIS 21;2021-01-06;19:00:00;Várzea Alegre;Feminino;15
AIS 07;2021-01-05;16:00:00;Fortaleza;Feminino;16
AIS 15;2021-01-02;22:10:00;Mulungu;Masculino;13
AIS 17;2020-12-28;15:00:00;Pentecoste;Masculino;9
AIS 17;2020-12-28;15:00:00;Pentecoste;Masculino;8
AIS 17;2020-12-28;15:00:00;Pentecoste;Feminino;6
AIS 05;2020-12-26;22:00:00;Fortaleza;Feminino;7
AIS 21;2020-12-25;02:00:00;Iguatu;Feminino;14
AIS 17;2020-12-25;20:30:00;Irauçuba;Feminino;14
AIS 06;2020-12-19;14:00:00;Fortaleza;Feminino;16
AIS 06;2020-12-14;03:00:00;Fortaleza;Feminino;17
AIS 13;2020-12-13;19:00:00;Aquiraz;Feminino;13
AIS 11;2020-12-08;12:00:00;Caucaia;Feminino;17
AIS 19;2020-12-05;21:00:00;Araripe;Feminino;12
AIS 06;2020-12-03;20:00:00;Fortaleza;Masculino;11
AIS 06;2020-12-03;20:00:00;Fortaleza;Masculino;17
AIS 25;2020-12-01;10:30:00;Pacajus;Feminino;6
AIS 14;2020-12-01;08:00:00;Tianguá;Feminino;10
AIS 12;2020-11-29;10:00:00;Maracanaú;Masculino;14
AIS 19;2020-11-24;23:00:00;Barbalha;Feminino;13
AIS 03;2020-11-19;11:00:00;Fortaleza;Feminino;16
AIS 25;2020-11-19;11:30:00;Horizonte;Feminino;16
AIS 25;2020-11-19;11:30:00;Horizonte;Feminino;16
AIS 17;2020-11-15;15:30:00;Pentecoste;Feminino;15
AIS 17;2020-11-09;08:00:00;Umirim;Feminino;16
AIS 14;2020-11-02;20:08:00;Viçosa do Ceará;Feminino;14
AIS 10;2020-11-01;10:00:00;Fortaleza;Masculino;15
AIS 18;2020-10-29;10:00:00;Iracema;Feminino;13
AIS 18;2020-10-29;10:00:00;Iracema;Feminino;15
AIS 19;2020-10-25;17:00:00;Juazeiro do Norte;Feminino;14
AIS 19;2020-10-18;07:30:00;Araripe;Feminino;16
AIS 14;2020-10-13;17:30:00;Tianguá;Feminino;12
AIS 06;2020-10-07;15:50:00;Fortaleza;Masculino;17
AIS 14;2020-10-07;10:30:00;Tianguá;Feminino;17
AIS 14;2020-09-28;15:00:00;Meruoca;Feminino;15
AIS 15;2020-09-27;21:00:00;Baturité;Feminino;15
AIS 15;2020-09-27;21:00:00;Baturité;Feminino;13
AIS 14;2020-09-26;19:00:00;Cariré;Feminino;12
AIS 15;2020-09-23;11:00:00;Aracoiaba;Masculino;15
AIS 05;2020-09-21;11:30:00;Fortaleza;Feminino;13
AIS 19;2020-09-20;22:00:00;Juazeiro do Norte;Feminino;11
AIS Não Identificada (Fortaleza);2020-09-18;16:00:00;Fortaleza;Masculino;15
AIS 25;2020-09-18;10:00:00;Pacajus;Feminino;6
AIS 17;2020-09-17;07:40:00;Marco;Feminino;11
AIS 20;2020-09-17;12:00:00;Quixadá;Feminino;11
AIS 23;2020-09-07;02:00:00;São Gonçalo do Amarante;Feminino;14
AIS 03;2020-09-01;08:00:00;Fortaleza;Feminino;14
AIS 19;2020-08-30;09:00:00;Mauriti;Feminino;11
AIS 20;2020-08-28;11:15:00;Jaguaretama;Feminino;14
AIS 20;2020-08-25;09:00:00;Quixeramobim;Feminino;17
AIS 19;2020-08-24;13:30:00;Farias Brito;Feminino;11
AIS 02;2020-08-22;23:00:00;Fortaleza;Masculino;14
AIS 14;2020-08-19;15:00:00;Alcântaras;Feminino;13
AIS 17;2020-08-19;22:00:00;Cruz;Feminino;17
AIS 14;2020-08-18;10:00:00;Meruoca;Feminino;14
AIS 21;2020-08-16;22:00:00;Jucás;Feminino;14
AIS 20;2020-08-16;19:00:00;Solonópole;Feminino;7
AIS 19;2020-08-14;08:30:00;Missão Velha;Feminino;14
AIS 25;2020-08-11;09:00:00;Pacajus;Feminino;10
AIS 03;2020-08-10;18:50:00;Fortaleza;Feminino;14
AIS 11;2020-08-09;15:40:00;Caucaia;Feminino;16
AIS 21;2020-07-28;17:00:00;Baixio;Feminino;16
AIS 23;2020-07-25;21:00:00;São Luís do Curu;Feminino;8
AIS 06;2020-07-16;11:00:00;Fortaleza;Feminino;14
AIS 17;2020-07-15;15:00:00;Acaraú;Feminino;10
AIS 17;2020-07-15;09:00:00;Uruburetama;Feminino;15
AIS 17;2020-07-15;09:00:00;Uruburetama;Feminino;9
AIS 17;2020-07-14;20:30:00;Cruz;Feminino;14
AIS 11;2020-07-08;21:30:00;Caucaia;Feminino;14
AIS 15;2020-07-08;20:30:00;Baturité;Feminino;14
AIS 15;2020-07-08;20:30:00;Baturité;Feminino;13
AIS 14;2020-06-26;05:30:00;Martinópole;Feminino;17
AIS 07;2020-06-25;11:00:00;Fortaleza;Feminino;17
AIS 08;2020-06-20;20:00:00;Fortaleza;Masculino;16
AIS 19;2020-06-18;10:00:00;Farias Brito;Feminino;13
AIS 16;2020-06-17;19:00:00;Novo Oriente;Feminino;15
AIS 12;2020-06-10;21:00:00;Maracanaú;Feminino;10
AIS 12;2020-06-10;21:00:00;Maracanaú;Feminino;8
AIS 12;2020-06-10;21:00:00;Maracanaú;Feminino;10
AIS 14;2020-06-10;15:00:00;Viçosa do Ceará;Feminino;13
